status;order_id;rup_code;flag_minikom;product_id;total_qty;nama_satker;rup_name;kode_penyedia;funding_source;rup_desc;shipping_fee;fiscal_year;shipment_status;mak;total;rekan_id;order_date;count_product;kode_satker;kode_klpd;last_update_ref
PAYMENT_OUTSIDE_SYSTEM;01KJ4AX4ADH6M66C5NPFXMJF95;65819141;Tidak;bfb0e981-6b22-41d1-b032-6e69b6add280;100;DIREKTORAT BINA PERLUASAN KESEMPATAN KERJA;Fullboard Meeting - Persiapan Pelaksanaan Program Perluasan Kesempatan Kerja Bidang Tenaga Kerja Mandiri - Finalisasi Draft Juknis TKMP 2026;01JWBCNH9AHC3V2J8YS213ZKZ8;APBN;Perluasan Kesempatan Kerja, ;0;2026;COMPLETED;DN.2175.BDC.003.051.0A.524114;119700000;0;2026-02-23T00:00:00Z;1;626041;K34;9e2b2a73-cd91-5014-a617-5819d4e72332.56Flk-LDdlKYbUZt.0Q52h8X1PCW7FxIJwnnjztsIvwOhHzYKtV34isABw7E
COMPLETED;01KSHKA13K8RYGNHAPJCA8YXCF;63091859;Tidak;c5ff5a09-56de-483a-8766-810609484e9f, 65d69b15-8c55-4d3a-93c5-e002ecafe1bf, ff40626e-3afd-413d-8487-5f811afa97be, 5c643366-7c38-44ac-8a11-7c79a78c5c25, 5d7dc962-0781-43bc-978a-51c05bdbd5b9, 6b2a3c26-030d-4874-ad02-c0f1b5d0c5a1, 4e5e8ab2-9f69-43a0-b6b0-f2d3fd5d671a, affd4aef-b789-4c59-ae75-5d28850c5d3b, 4ae154c3-8983-404e-a324-1cdfa469b057, ffc29464-de70-44a1-8ad0-e8f608c1206d;72;BALAI BESAR PELATIHAN VOKASI DAN PRODUKTIVITAS SERANG;Pengadaan Bahan Sertifikasi Lulusan (231 Paket);01JPHT8R3TKWRTQ8663M9DRT2Q;APBN;Pengembangan Sistem dan Pelaksanaan Sertifikasi Kompetensi Profesi Binalavotas, ;0;2026;COMPLETED;DL.4053.PDI.002.051.0A.521211, DL.4053.PDI.002.051.0B.521211, DL.4053.PDI.003.051.0A.521211;9816840;43475011;2026-05-29T00:00:00Z;10;426531;K34;9e2b2a73-cd91-5014-a617-5819d4e72332.56Flk-LDdlKYbUZt.0Q52h8X1PCW7FxIJwnnjztsIvwOhHzYKtV34isABw7E
COMPLETED;01KK0WJAC5XZ0ZKHNWEK0JG9PE;62801553;Tidak;ca3f2151-263d-4a57-bfff-5db83bb4402d, 6a19955e-6ef0-41b3-891f-074c0d4a5174, 5b827715-a331-45ea-98ff-2e45e8600af0, e79910cf-eefb-4dea-9668-fe9fcfdf02b0, ee408668-bbb0-4f3e-b1cc-c3f8bbac3886, 02451150-c346-4ce9-ae09-b222eda99c0c, db29bd78-3480-4837-83ab-d8f5844931bc, a46fb4d4-7812-479e-aa2f-7c1fc1610fef, c023fc3e-9ec0-483f-9280-64068f8267e8, 6c7aa853-118c-4866-86af-12ef7d4b7f74, c1110948-458f-4bc1-86ce-00563b0281f9, 66c16efc-e4cf-4eb9-b363-e203313bff80, ec0ea933-d26f-46db-94ad-89ff907f16d4, 681a797a-9ef2-4a7a-8cc5-e4df8ce2f1a5, 3974be0e-8ac7-4828-986c-2fe7fea6be77, d211a601-2043-4a2f-9158-c9ad73a24e5f, 95caf173-eaab-4689-902a-1a1656934cc3, 2561b8ca-853b-4dde-af28-21bbd4c21b03, d81aa313-eb82-4af2-a33b-646fd97f05de, 91527085-db65-4ccd-9c93-2210f813c080, 18f8ae9d-33a4-4bb4-a1a0-35ce0fd47558, 03ff2c6c-2f1f-4367-a448-69f1dbdbd650, d58a213e-877e-4d3b-b8bd-69e8dd092dcf;517;BALAI BESAR PELATIHAN VOKASI DAN PRODUKTIVITAS SEMARANG;Belanja Bahan Pelaksanaan Sertifikasi Lulusan Pelatihan ;01JCF5TRQVKW157PX3JC6JFJ1Y;APBN;Pengembangan Sistem dan Pelaksanaan Sertifikasi Kompetensi Profesi Binalavotas, ;0;2026;COMPLETED;DL.4053.PDI.002.051.0B.521211;27572289;2705108;2026-03-06T00:00:00Z;23;452609;K34;9e2b2a73-cd91-5014-a617-5819d4e72332.56Flk-LDdlKYbUZt.0Q52h8X1PCW7FxIJwnnjztsIvwOhHzYKtV34isABw7E
ON_PROCESS;01KMQAB57Q1PGKTRH32CYNNKT2;66626893;Tidak;9d079815-bd96-43c1-b471-9f536452af11;4109;BALAI PELATIHAN VOKASI DAN PRODUKTIVITAS SAMARINDA;Konsumsi Peserta Pelatihan (RM);01K5G0BRX7C57HJSJGGD0B0AS8;APBN;;0;2026;DRAFT;DL.4057.SCO.003.051.0B.521211, DL.4057.SCO.003.052.0A.521211;102314100;0;2026-03-30T00:00:00Z;1;451108;K34;9e2b2a73-cd91-5014-a617-5819d4e72332.56Flk-LDdlKYbUZt.0Q52h8X1PCW7FxIJwnnjztsIvwOhHzYKtV34isABw7E
ON_PROCESS;01KK0QQQPYANQTYFNQP6879BGK;66165439;Tidak;d591e7ee-a3d7-43a9-b653-6def5edb55a7;32;BALAI BESAR PELATIHAN VOKASI DAN PRODUKTIVITAS MEDAN;Pakaian Kerja 49 Paket RM;01J8H9SHT8BGT5TEBA74BVRS6D;APBN;;0;2026;COMPLETED;DL.4057.SCO.003.051.0B.521211, DL.4057.SCO.003.052.0A.521211, DL.4057.SCO.003.052.0B.521211, DL.4057.SCO.003.052.0C.521211, DL.4057.SCO.003.053.0B.521211;4608000;0;2026-03-09T00:00:00Z;1;451094;K34;9e2b2a73-cd91-5014-a617-5819d4e72332.56Flk-LDdlKYbUZt.0Q52h8X1PCW7FxIJwnnjztsIvwOhHzYKtV34isABw7E
CANCELLED_ON_REVIEW;01KSH2VMAM1R1WQ5HA8H6A92HZ;62540498;Tidak;304173fc-e194-4033-8dad-12168aee2323;7;BADAN PERENCANAAN DAN PENGEMBANGAN KETENAGAKERJAAN;Langganan Layanan Bandwidth Rumah Dinas Pimpinan 3;01J9ARYBFRM5PHXQ5MVCCQQKT9;APBN;Dukungan Manajemen Badan Perencanaan dan Pengembangan Ketenagakerjaan, ;;2026;DRAFT;WA.6624.EBA.994.002.BC.522119;27195000;3196119;;1;452677;K34;9e2b2a73-cd91-5014-a617-5819d4e72332.56Flk-LDdlKYbUZt.0Q52h8X1PCW7FxIJwnnjztsIvwOhHzYKtV34isABw7E
ON_PROCESS;01KKGHRP0V0CAHGTQFB7Q2G3Y6;66339509;Tidak;d800f28a-78b0-45d5-a2b3-683497db5882;63;BALAI PELATIHAN VOKASI DAN PRODUKTIVITAS LOMBOK TIMUR;Jasa Outsourcing;01JETC9Q1AK4WAT72ME95AJFVF;APBN;Dukungan Manajemen Direktorat Jenderal Pembinaan Pelatihan Vokasi dan Produktivitas, ;0;2026;DRAFT;WA.6988.EBA.994.002.0B.522151;268033815;70174;2026-03-19T00:00:00Z;1;230302;K34;9e2b2a73-cd91-5014-a617-5819d4e72332.56Flk-LDdlKYbUZt.0Q52h8X1PCW7FxIJwnnjztsIvwOhHzYKtV34isABw7E
COMPLETED;01KP58P4DB2PRKRZ9B5TM0THC1;66386502;Tidak;aa319959-6b82-406f-9b40-51884b5d172f;400;BALAI PELATIHAN VOKASI DAN PRODUKTIVITAS SAMARINDA;Pakaian Kerja;01KJVJYPV97SJ4KC540PD8QRCM;APBN;Peningkatan Penyelenggaraan Pelatihan Vokasi dan Pemagangan Binalavotas, ;0;2026;COMPLETED;DL.4057.SCO.003.053.0B.521211;59829000;0;2026-04-15T00:00:00Z;1;451108;K34;9e2b2a73-cd91-5014-a617-5819d4e72332.56Flk-LDdlKYbUZt.0Q52h8X1PCW7FxIJwnnjztsIvwOhHzYKtV34isABw7E
ON_PROCESS;01KVHCHEMNJWTP02ZMGYA5GWZ3;66977017;Tidak;4f9aabe1-6f55-48ca-a3a4-3ece1fd49394;48;BALAI PELATIHAN VOKASI DAN PRODUKTIVITAS SURAKARTA;Belanja Pengadaan Pakaian Kerja Peserta UPTD BLKPP DIY;01HS824VZZ068W1SDDR9HRTZ7W;APBN;Peningkatan Penyelenggaraan Pelatihan Vokasi dan Pemagangan Binalavotas, ;0;2026;COMPLETED;DL.4057.SCO.012.051.51.521211;7199993;0;2026-06-22T00:00:00Z;1;035636;K34;9e2b2a73-cd91-5014-a617-5819d4e72332.56Flk-LDdlKYbUZt.0Q52h8X1PCW7FxIJwnnjztsIvwOhHzYKtV34isABw7E
CANCELLED_ON_NEGOTIATION;01KSHCN9SSKAA509KRYFEGGNR2;67204007;Tidak;fde638c4-f696-47c0-bb74-0ed67b21363c;80;BALAI BESAR PERLUASAN KESEMPATAN KERJA;Pengadaan Jasa Tenaga Alih Daya Satpam, Petugas Kebersihan dan Pramubakti Satpel Dumai (periode Juni s.d Desember 2026);01JNJ4XRTYSV2PM9D20T1ZP5JW;APBN;Dukungan Manajemen Ditjen Pembinaan Penempatan Tenaga Kerja dan Perluasan Kesempatan Kerja, ;;2026;DRAFT;WA.6621.EBA.994.002.0f.521111;436578720;0;;1;259322;K34;9e2b2a73-cd91-5014-a617-5819d4e72332.56Flk-LDdlKYbUZt.0Q52h8X1PCW7FxIJwnnjztsIvwOhHzYKtV34isABw7E
