kd_klpd;nama_klpd;jenis_klpd;kd_satker;kd_satker_str;nama_satker
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;14053;450922;BIRO PERENCANAAN KEMENAKER
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;14054;450938;Sekretariat Jenderal
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;14055;450944;BIRO ORGANISASI DAN KEPEGAWAIAN KEMENAKERTRANS
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;14056;450950;BIRO HUKUM KEMENAKER
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;14057;450964;BIRO UMUM KEMENAKER
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;14058;450938;BIRO KERJASAMA LUAR NEGERI
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;14059;450981;BIRO HUBUNGAN MASYARAKAT KEMNAKER
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;14060;450990;Pusat Pengembangan SDM Ketenagakerjaan
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;14061;451001;PUSAT KESELAMATAN DAN KESEHATAN KERJA KEMENAKERTRANS
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;14062;888059;PUSAT PERENCANAAN TENAGA KERJA
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;14063;350079;Balai Keselamatan dan Kesehatan Kerja Bandung
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;14064;350080;Balai Higene Perusahaan Kesehatan Dan Keselamatan Kerja Surabaya
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;14065;350081;Balai Keselamatan dan Kesehatan Kerja Medan
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;14066;350083;Balai Keselamatan dan Kesehatan Kerja Samarinda
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;14067;426587;BALAI  BESAR KESELAMATAN DAN KESEHATAN KERJA MAKASSAR
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;14068;259031;Inspektorat Jenderal
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;14069;451139;Ditjen Pembinaan Penempatan Tenaga Kerja dan Perluasan Kesempatan Kerja
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;14070;451145;DIREKTORAT PENGEMBANGAN PASAR KERJA DITJEN BINAPENTA KEMENAKERTRANS
