kd_metode_pengadaan;spesifikasi_pekerjaan;tahun_anggaran;status_delete_rup;tgl_awal_kontrak;metode_pengadaan;urarian_pekerjaan;tgl_akhir_pemilihan;status_pradipa;tgl_akhir_pemanfaatan;spp_aspek_ekonomi;tgl_awal_pemilihan;status_ukm;spp_aspek_lingkungan;tgl_akhir_kontrak;volume_pekerjaan;kd_rup;tgl_awal_pemanfaatan;tgl_pengumuman_paket;nama_satker;kd_jenis_pengadaan;jenis_klpd;kd_satker_str;nip_ppk;status_dikecualikan;spp_aspek_sosial;username_ppk;nama_paket;nama_ppk;kd_satker;nama_klpd;status_pdn;status_aktif_rup;kd_klpd;status_konsolidasi;status_umumkan_rup;tgl_buat_paket;tipe_paket;jenis_pengadaan;pagu;last_update_ref;alasan_non_ukm;kd_rup_swakelola;nomor_kontrak;kode_rup_tahun_pertama;tahun_pertama;alasan_dikecualikan;kd_rup_lokal
16;"  - 	Paket Meeting Fullday [200 org x 1 hr x 50 akt]		10000.0 oh	262.050		2.620.500.000
";2026;FALSE;2026-02-01;Dikecualikan;"  - 	Paket Meeting Fullday [200 org x 1 hr x 50 akt]		10000.0 oh	262.050		2.620.500.000
";2026-02-01;Non-PraDIPA;2026-12-01;FALSE;2026-02-01;UKM;FALSE;2026-12-01T00:00:00Z;1 Paket;66175427;2026-02-01;2026-03-04T12:27:36.331Z;Ditjen Pembinaan Pengawasan Ketenagakerjaan dan Keselamatan dan Kesehatan Kerja;4;KEMENTERIAN;651870;***************001;TRUE;FALSE;***********194;"Paket Meeting Fullday, Sosialisasi ketenagakerjaan bidang K3 di perusahaan/ tempat kerja bagi SP/SB*		";S***** H***, S.T.;14095;Kementerian Ketenagakerjaan;PDN;TRUE;K34;Non-Konsolidasi;Terumumkan;2026-03-04T00:00:00Z;Penyedia;Jasa Lainnya;1709270000;af158957-bf91-5793-9b5e-9a5712fdf4de.rD5nQ4_Upo70Lbzn.pc-bFevM7SHEe8StQUdPtMk3xUjl60JsbIlmwB6idBw;;;;;;;
8;Pusat Pelatihan Kerja Daerah Jakarta Barat berupa pengadaan Belanja Bahan Digital Marketing 260 JP;2026;FALSE;2026-03-01;Pengadaan Langsung;Pusat Pelatihan Kerja Daerah Jakarta Barat berupa pengadaan Belanja Bahan Digital Marketing 260 JP;2026-03-01;Non-PraDIPA;2026-12-01;FALSE;2026-03-01;UKM;FALSE;2026-12-01T00:00:00Z;1;66187990;2026-04-01;2026-03-10T20:05:09.445Z;Balai Besar Pelatihan Vokasi dan Produktivitas Bekasi;1;KEMENTERIAN;452558;***************001;FALSE;FALSE;*************859;Pusat Pelatihan Kerja Daerah Jakarta Barat berupa pengadaan Belanja Bahan Digital Marketing 260 JP;Y*** M******;14111;Kementerian Ketenagakerjaan;PDN;TRUE;K34;Non-Konsolidasi;Terumumkan;2026-03-04T00:00:00Z;Penyedia;Barang;19360000;af158957-bf91-5793-9b5e-9a5712fdf4de.rD5nQ4_Upo70Lbzn.pc-bFevM7SHEe8StQUdPtMk3xUjl60JsbIlmwB6idBw;;;;;;;
9;"1. Belanja Barang untuk Bantuan Lainnya yang Memiliki Karakteristik Bantuan Pemerintah ; 
2. Belanja Bahan; 
3. Belanja Barang untuk Bantuan Lainnya yang Memiliki Karakteristik Bantuan Pemerintah ; 
4. Belanja Bahan; 
5. Belanja Bahan; 
6. Belanja Honor Output Kegiatan; 
7. Belanja Honor Output Kegiatan; 
8. Belanja Honor Output Kegiatan; 
9. Belanja Honor Output Kegiatan; 
10. Belanja Barang Non Operasional Lainnya; 
11. Belanja Barang Non Operasional Lainnya; 
12. Belanja Barang Non Operasional Lainnya; 
13. Belanja Barang Persediaan Barang Konsumsi; 
14. Belanja Barang Persediaan Barang Konsumsi; 
15. Belanja Jasa Profesi; 
16. Belanja Jasa Profesi; 
17. Belanja Jasa Profesi; 
18. Belanja Barang untuk Bantuan Lainnya yang Memiliki Karakteristik Bantuan Pemerintah ; 
";2026;FALSE;2026-02-01;E-Purchasing;"1. Belanja Barang untuk Bantuan Lainnya yang Memiliki Karakteristik Bantuan Pemerintah ; 
2. Belanja Bahan; 
3. Belanja Barang untuk Bantuan Lainnya yang Memiliki Karakteristik Bantuan Pemerintah ; 
4. Belanja Bahan; 
5. Belanja Bahan; 
6. Belanja Honor Output Kegiatan; 
7. Belanja Honor Output Kegiatan; 
8. Belanja Honor Output Kegiatan; 
9. Belanja Honor Output Kegiatan; 
10. Belanja Barang Non Operasional Lainnya; 
11. Belanja Barang Non Operasional Lainnya; 
12. Belanja Barang Non Operasional Lainnya; 
13. Belanja Barang Persediaan Barang Konsumsi; 
14. Belanja Barang Persediaan Barang Konsumsi; 
15. Belanja Jasa Profesi; 
16. Belanja Jasa Profesi; 
17. Belanja Jasa Profesi; 
18. Belanja Barang untuk Bantuan Lainnya yang Memiliki Karakteristik Bantuan Pemerintah ; 
";2026-02-01;Non-PraDIPA;2026-11-01;FALSE;2026-01-01;UKM;FALSE;2026-02-01T00:00:00Z;1 Paket;62084464;2026-02-01;2026-01-19T13:14:47.685Z;Balai Pelatihan Vokasi dan Produktivitas Surakarta;1;KEMENTERIAN;035636;;FALSE;FALSE;;Reguler;;14114;Kementerian Ketenagakerjaan;PDN;TRUE;K34;Non-Konsolidasi;Terumumkan;2026-01-19T00:00:00Z;Penyedia;Barang;995604000;af158957-bf91-5793-9b5e-9a5712fdf4de.rD5nQ4_Upo70Lbzn.pc-bFevM7SHEe8StQUdPtMk3xUjl60JsbIlmwB6idBw;;;;;;;
8;Terdapat pada Speksifikasi Teknis/KAK;2026;FALSE;2026-02-01;Pengadaan Langsung;"1. ATK ( 37, PKT, @ 200000 ); 
";2026-02-01;Non-PraDIPA;2026-12-01;TRUE;2026-02-01;UKM;TRUE;2026-12-01T00:00:00Z;( 37, PKT, @ 200000 );65850004;2026-02-01;2026-03-12T16:31:05.623Z;Balai Pelatihan Vokasi dan Produktivitas Sorong;1;KEMENTERIAN;452589;***************013;FALSE;TRUE;***************194;ATK;A*** V**** K*****;14131;Kementerian Ketenagakerjaan;PDN;TRUE;K34;Non-Konsolidasi;Terumumkan;2026-02-25T00:00:00Z;Penyedia;Barang;7400000;af158957-bf91-5793-9b5e-9a5712fdf4de.rD5nQ4_Upo70Lbzn.pc-bFevM7SHEe8StQUdPtMk3xUjl60JsbIlmwB6idBw;;;;;;;
8;"1. ATK ( 4, PKT, @ 500000 ); 
2. Komputer Suplies ( 1, PKT, @ 2254000 ); 
";2026;FALSE;2026-04-01;Pengadaan Langsung;"1. ATK ( 4, PKT, @ 500000 ); 
2. Komputer Suplies ( 1, PKT, @ 2254000 ); 
";2026-03-01;Non-PraDIPA;2026-12-01;TRUE;2026-03-01;UKM;TRUE;2026-12-01T00:00:00Z;1 Paket;66331457;2026-04-01;2026-03-11T08:47:34.439Z;Sekretariat Jenderal;1;KEMENTERIAN;450938;***************002;FALSE;TRUE;*********************426;Belanja Bahan Pelaksanaan Pengujian SPP dan Penerbitan SPM EBD;A**** S***** A***********;14054;Kementerian Ketenagakerjaan;PDN;TRUE;K34;Non-Konsolidasi;Terumumkan;2026-03-10T00:00:00Z;Penyedia;Barang;4254000;af158957-bf91-5793-9b5e-9a5712fdf4de.rD5nQ4_Upo70Lbzn.pc-bFevM7SHEe8StQUdPtMk3xUjl60JsbIlmwB6idBw;;;;;;;
8;-;2026;FALSE;2026-05-01;Pengadaan Langsung;Belanja Bahan Pelatihan Kegiatan PBK Reguler BLK Metro;2026-04-01;Non-PraDIPA;2026-12-01;FALSE;2026-04-01;UKM;FALSE;2026-08-01T00:00:00Z;6 Paket;63085030;2026-12-01;2026-02-08T17:38:19.098Z;Balai Besar Pelatihan Vokasi dan Produktivitas Serang;1;KEMENTERIAN;426531;***************001;FALSE;FALSE;***********194;Belanja Bahan Pelatihan Kegiatan PBK Reguler BLK Metro;A**** W*********, M.E**;14130;Kementerian Ketenagakerjaan;PDN;TRUE;K34;Non-Konsolidasi;Terumumkan;2026-01-08T00:00:00Z;Penyedia;Barang;141000000;af158957-bf91-5793-9b5e-9a5712fdf4de.rD5nQ4_Upo70Lbzn.pc-bFevM7SHEe8StQUdPtMk3xUjl60JsbIlmwB6idBw;;;;;;;
8;Spesifikasi sesuai KAK;2026;FALSE;2026-05-01;Pengadaan Langsung;"1. Modul ( 32, OP ); 
";2026-04-01;Non-PraDIPA;2026-12-01;FALSE;2026-04-01;UKM;FALSE;2026-06-01T00:00:00Z;( 32, OP);63628978;2026-05-01;2026-03-03T10:07:30.383Z;Balai Besar Pelatihan Vokasi dan Produktivitas Bandung;1;KEMENTERIAN;452542;***************006;FALSE;FALSE;************************226;Modul Kerjasama;C********* D*** R********;14110;Kementerian Ketenagakerjaan;PDN;TRUE;K34;Non-Konsolidasi;Terumumkan;2026-03-03T00:00:00Z;Penyedia;Barang;3200000;af158957-bf91-5793-9b5e-9a5712fdf4de.rD5nQ4_Upo70Lbzn.pc-bFevM7SHEe8StQUdPtMk3xUjl60JsbIlmwB6idBw;;;;;;;
8;Biaya Konsumsi Penutupan - PELATIHAN DASAR PENGUJI K3;2026;FALSE;2026-08-01;Pengadaan Langsung;Biaya Konsumsi Penutupan - PELATIHAN DASAR PENGUJI K3;2026-08-01;Non-PraDIPA;2026-12-01;FALSE;2026-08-01;UKM;FALSE;2026-08-01T00:00:00Z;40.0 OK;66473916;2026-08-01;2026-03-13T14:51:19.322Z;Pusat Pengembangan SDM Ketenagakerjaan;1;KEMENTERIAN;450990;***************001;FALSE;FALSE;******************194;Biaya Konsumsi Penutupan - PELATIHAN DASAR PENGUJI K3;H*** A********,S.P.,M.S*.;14060;Kementerian Ketenagakerjaan;PDN;TRUE;K34;Non-Konsolidasi;Terumumkan;2026-03-13T00:00:00Z;Penyedia;Barang;1400000;af158957-bf91-5793-9b5e-9a5712fdf4de.rD5nQ4_Upo70Lbzn.pc-bFevM7SHEe8StQUdPtMk3xUjl60JsbIlmwB6idBw;;;;;;;
8;Sesuai spektek;2026;FALSE;2026-03-01;Pengadaan Langsung;"1. Bahan Pelatihan Servis Sepeda Motor Listrik (220 JP) ( 3, PKT, @ 12500000 ); 
";2026-03-01;Non-PraDIPA;2026-12-01;TRUE;2026-01-01;UKM;TRUE;2026-12-01T00:00:00Z;( 3, PKT, @ 12500000 );66358804;2026-03-01;2026-03-11T22:08:12.661Z;Balai Pelatihan Vokasi dan Produktivitas Samarinda;1;KEMENTERIAN;451108;***************001;FALSE;TRUE;**********194;Bahan Pelatihan Servis Sepeda Motor Listrik (220 JP);K**** E** S*********, S*;14122;Kementerian Ketenagakerjaan;PDN;TRUE;K34;Non-Konsolidasi;Terumumkan;2026-03-11T00:00:00Z;Penyedia;Barang;37500000;af158957-bf91-5793-9b5e-9a5712fdf4de.rD5nQ4_Upo70Lbzn.pc-bFevM7SHEe8StQUdPtMk3xUjl60JsbIlmwB6idBw;;;;;;;
8;"1. Asuransi Peserta Pelatihan ( 768, OB, @ 17000 ); 
";2026;FALSE;2026-04-01;Pengadaan Langsung;"1. Asuransi Peserta Pelatihan ( 768, OB, @ 17000 ); 
";2026-04-01;Non-PraDIPA;2026-12-01;FALSE;2026-03-01;UKM;FALSE;2026-12-01T00:00:00Z;( 768, OB, @ 17000 );65763473;2026-04-01;2026-03-04T21:08:05.242Z;Balai Besar Pelatihan Vokasi dan Produktivitas Medan;4;KEMENTERIAN;451094;***************005;FALSE;FALSE;******************194;Asuransi Peserta Pelatihan 8 Paket PBK Teknisi PNBP;R***** P********** S******, S*;14118;Kementerian Ketenagakerjaan;PDN;TRUE;K34;Non-Konsolidasi;Terumumkan;2026-03-04T00:00:00Z;Penyedia;Jasa Lainnya;13056000;af158957-bf91-5793-9b5e-9a5712fdf4de.rD5nQ4_Upo70Lbzn.pc-bFevM7SHEe8StQUdPtMk3xUjl60JsbIlmwB6idBw;;;;;;;
