Nama Instansi,Nama Satuan Kerja,Kode Paket,Kode RUP,Tahun Anggaran,Sumber Transaksi,Sumber Dana,Nama Penyedia,Metode Pengadaan,Jenis Pengadaan,Nama Paket,Status Paket,Total Nilai (Rp),Nilai PDN (Rp)
KEMENTERIAN KETENAGAKERJAAN,DIREKTORAT BINA PERLUASAN KESEMPATAN KERJA - 626041,01KS4BNJ66A0M8EHHVTFKV07P1,65907112,2026,E-Katalog 6.0,APBN,OASIS HOTEL BOGOR,E-Purchasing,Jasa Lainnya,Fullboard Paket Meeting - Persiapan Pelaksanaan Penyaluran Bantuan Kegiatan Padat Karya - Verifikasi dan Identifikasi Calon Penerima Bantuan Padat Karya,COMPLETED,68000000,68000000
KEMENTERIAN KETENAGAKERJAAN,BALAI PELATIHAN VOKASI DAN PRODUKTIVITAS BELITUNG - 352631,01KNNY040AFGCBDSRDFQVQA0Y0,66567912,2026,E-Katalog 6.0,APBN,CV Ar Sakha,E-Purchasing,Barang,"Pengadaan Bahan Pelatihan TMT, PBL, dan PBK Batch 1 BPVP Belitung",COMPLETED,4778550,4778550
KEMENTERIAN KETENAGAKERJAAN,BALAI BESAR PELATIHAN VOKASI DAN PRODUKTIVITAS SERANG - 426531,01KS4R10SGP5YXCQGV2AYY6WNF,63093792,2026,E-Katalog 6.0,APBN,ZALTIN LINTAS INDONESIA,E-Purchasing,Barang,Pengadaan Pakaian Kerja dan Kaos Peserta Pelatihan (189 Paket),PAYMENT OUTSIDE SYSTEM,3179040,3179040
KEMENTERIAN KETENAGAKERJAAN,BALAI PELATIHAN VOKASI DAN PRODUKTIVITAS SIDOARJO - 050302,01KMYVEJDZRGB307YFV9CCDZH7,66473957,2026,E-Katalog 6.0,APBN,PARAMITHA,E-Purchasing,Barang,Bahan Pelatihan Tailor Made Training 40 JP A,PAYMENT OUTSIDE SYSTEM,9712500,9712500
KEMENTERIAN KETENAGAKERJAAN,BALAI BESAR PELATIHAN VOKASI DAN PRODUKTIVITAS SEMARANG - 452609,01KPA92GT0YAQGY655WMMEDM7A,66185882,2026,E-Katalog 6.0,APBN,TUNJUNG PUTRO,E-Purchasing,Barang,Belanja Bahan Project Based Learning A,COMPLETED,24575400,24575400
KEMENTERIAN KETENAGAKERJAAN,DITJEN. PEMBINAAN HUBUNGAN INDUSTRIAL DAN JAMINAN SOSIAL TENAGA KERJA - 451270,01KK0X0K9HX99XMBG4TFA5G7B3,65871014,2026,E-Katalog 6.0,APBN,GRAND DARMO SUITE,E-Purchasing,Barang,"Paket Fullboard Moderator, Peserta dan Penyelenggara Sinergitas LKS Tripartit Nasional dan LKS Tripartit Daerah",PAYMENT OUTSIDE SYSTEM,100092000,100092000
KEMENTERIAN KETENAGAKERJAAN,BALAI BESAR PELATIHAN VOKASI DAN PRODUKTIVITAS SERANG - 426531,01KKDYXFT4K7ZZ8ZTJVEZFFD0E,66342568,2026,E-Katalog 6.0,APBN,ULTIMA ABDI SEJAHTERA,E-Purchasing,Barang,Pengadaan Bahan Pelatihan Vokasi UPTP RM (60 Paket),COMPLETED,11036730,11036730
KEMENTERIAN KETENAGAKERJAAN,BALAI BESAR PELATIHAN VOKASI DAN PRODUKTIVITAS SERANG - 426531,01KPQM11T86XBH7AH8K962B6W9,63091859,2026,E-Katalog 6.0,APBN,SUMBER VOKASI NUSANTARA,E-Purchasing,Barang,Pengadaan Bahan Sertifikasi Lulusan (231 Paket),COMPLETED,23183460,23183460
KEMENTERIAN KETENAGAKERJAAN,BALAI BESAR PELATIHAN VOKASI DAN PRODUKTIVITAS SERANG - 426531,01KHSZD93ZNDK7MCQREFTKT2SG,63096783,2026,E-Katalog 6.0,APBN,ABDYTHA MEGAH BERSAMA,E-Purchasing,Barang,Pengadaan Bahan Pelatihan PBK Reguler UPTP (54 Paket),COMPLETED,334674546,334674546
KEMENTERIAN KETENAGAKERJAAN,BALAI PELATIHAN VOKASI DAN PRODUKTIVITAS BELITUNG - 352631,01KRZHXKDWHGJAJE3G006A45WH,66567912,2026,E-Katalog 6.0,APBN,CV Ar Sakha,E-Purchasing,Barang,"Pengadaan Bahan Pelatihan TMT, PBL, dan PBK Batch 1 BPVP Belitung",COMPLETED,2991450,2991450
KEMENTERIAN KETENAGAKERJAAN,BALAI BESAR PELATIHAN VOKASI DAN PRODUKTIVITAS SERANG - 426531,01KPQCE1X7QG9MR4F0BW5H66EK,63091859,2026,E-Katalog 6.0,APBN,SINAR RAFIAN,E-Purchasing,Barang,Pengadaan Bahan Sertifikasi Lulusan (231 Paket),COMPLETED,4078140,4078140
KEMENTERIAN KETENAGAKERJAAN,BALAI BESAR PELATIHAN VOKASI DAN PRODUKTIVITAS SEMARANG - 452609,01KRZFJ25P063NE6F3A7T36284,66185662,2026,E-Katalog 6.0,APBN,SETIA,E-Purchasing,Barang,Belanja Bahan Pelaksanaan Sertifikasi Lulusan Pelatihan Vokasi (PNP),COMPLETED,981240,981240
KEMENTERIAN KETENAGAKERJAAN,BALAI BESAR PELATIHAN VOKASI DAN PRODUKTIVITAS SEMARANG - 452609,01KQ91CZM5AQV430GQWE6JXTDZ,66185662,2026,E-Katalog 6.0,APBN,BERKAH MAULANA YASIN,E-Purchasing,Barang,Belanja Bahan Pelaksanaan Sertifikasi Lulusan Pelatihan Vokasi (PNP),COMPLETED,5677650,5677650
KEMENTERIAN KETENAGAKERJAAN,BALAI BESAR PELATIHAN VOKASI DAN PRODUKTIVITAS SEMARANG - 452609,01KJYMBF4FK9RJS778P1V9PH2C,65956099,2026,E-Katalog 6.0,APBN,SETIA,E-Purchasing,Barang,Belanja Bahan Pelatihan Vokasi Bidang Industri dan Jasa Reguler,COMPLETED,17312448,17312448
KEMENTERIAN KETENAGAKERJAAN,BALAI BESAR PELATIHAN VOKASI DAN PRODUKTIVITAS SEMARANG - 452609,01KHAEZ4GYSFJHPRKDFA3T7C98,62804537,2026,E-Katalog 6.0,APBN,TUNJUNG PUTRO,E-Purchasing,Barang,Belanja Bahan Pelatihan Vokasi Bidang Industri dan Jasa Reguler,COMPLETED,57968640,57968640
KEMENTERIAN KETENAGAKERJAAN,DITJEN. PEMBINAAN HUBUNGAN INDUSTRIAL DAN JAMINAN SOSIAL TENAGA KERJA - 451270,01KNB717YRHHYBSAWWQCJWRE0S,66262515,2026,E-Katalog 6.0,APBN,SUMBER NIAGA INTI PERKASA,E-Purchasing,Jasa Lainnya,Paket Meeting Fullboard Peserta dan Panitia,COMPLETED,102600000,102600000
KEMENTERIAN KETENAGAKERJAAN,BALAI PELATIHAN VOKASI DAN PRODUKTIVITAS SIDOARJO - 050302,01KMS7RX1EGY2XCKVRW6ES0VDW,66473957,2026,E-Katalog 6.0,APBN,PARAMITHA,E-Purchasing,Barang,Bahan Pelatihan Tailor Made Training 40 JP A,PAYMENT OUTSIDE SYSTEM,16345860,16345860
KEMENTERIAN KETENAGAKERJAAN,BALAI BESAR PELATIHAN VOKASI DAN PRODUKTIVITAS SEMARANG - 452609,01KKZZN7H9EFSY5ZDE9B9F8MAM,66185950,2026,E-Katalog 6.0,APBN,BERKAH MAULANA YASIN,E-Purchasing,Barang,Belanja Bahan TMT Klaster,COMPLETED,9500490,9500490
KEMENTERIAN KETENAGAKERJAAN,DITJEN PHI DAN JAMSOS - ,01KPA55XPX6ARRHFPNJSXATJBX,65242511,2026,E-Katalog 6.0,APBN,KARYA CIPTA PESONA,E-Purchasing,Jasa Lainnya,Paket Meeting Fullboard Konteks PPHI pada luar PHI/MA,COMPLETED,150880000,150880000
KEMENTERIAN KETENAGAKERJAAN,BALAI BESAR PERLUASAN KESEMPATAN KERJA - 259322,01KFCH3SQB5S7VC1JFFW09X386,64810766,2026,E-Katalog 6.0,APBN,KARYA CAHAYA ANUE,E-Purchasing,Jasa Lainnya,Pengadaan Jasa Tenaga Alih Daya Satpam BBPKK (periode Januari 2026),COMPLETED,48000000,48000000
KEMENTERIAN KETENAGAKERJAAN,SEKRETARIAT JENDERAL KEMNAKER - 450938,01KFAHVHTQHA83A3P50D480KME,62918717,2026,E-Katalog 6.0,APBN,NIAGA ABADI,E-Purchasing,Jasa Lainnya,Sewa Mesin Fotokopi Biro Keuangan dan BMN,COMPLETED,65999999,65999999
KEMENTERIAN KETENAGAKERJAAN,DITJEN. PEMBINAAN HUBUNGAN INDUSTRIAL DAN JAMINAN SOSIAL TENAGA KERJA - 451270,01KN1NH3C40AJY9ZDMP6ZFJ84E,66262863,2026,E-Katalog 6.0,APBN,PARAMOUNT ENTERPRISE INTERNATIONAL,E-Purchasing,Jasa Lainnya,"Paket Meeting Fullboard Peserta, Panitia, dan Moderator",COMPLETED,74480000,74480000
KEMENTERIAN KETENAGAKERJAAN,DITJEN. PEMBINAAN HUBUNGAN INDUSTRIAL DAN JAMINAN SOSIAL TENAGA KERJA - 451270,01KMZ0YZ8WCCSD2TPTRVYSA0SE,65992188,2026,E-Katalog 6.0,APBN,ANTARES SINAR KARUNIA,E-Purchasing,Jasa Lainnya,"Paket Pertemuan Fullboard Peserta, Moderator, dan Penyelenggara DIALOG SOSIAL BAGI PENGURUS DAN ANGGOTA SERIKAT PEKERJA/SERIKAT BURUH TINGKAT PERUSAHAAN  ",PAYMENT OUTSIDE SYSTEM,89380000,89380000
KEMENTERIAN KETENAGAKERJAAN,DITJEN. PEMBINAAN HUBUNGAN INDUSTRIAL DAN JAMINAN SOSIAL TENAGA KERJA - 451270,01KN43SZ11TNWWZ2ZNQ3WWTZYY,63840283,2026,E-Katalog 6.0,APBN,HAJI SUKRESNO PROPERTINDO,E-Purchasing,Jasa Lainnya,"Paket Fullboard Moderator, Peserta dan Penyelenggara Dialog Tripartit Dalam Pengembangan Kebijakan Ketenagakerjaan",PAYMENT OUTSIDE SYSTEM,92340000,92340000
KEMENTERIAN KETENAGAKERJAAN,BALAI BESAR PELATIHAN VOKASI DAN PRODUKTIVITAS SEMARANG - 452609,01KJYJWGM8ESFR2BN7NHEVWNAX,65956099,2026,E-Katalog 6.0,APBN,SETIA,E-Purchasing,Barang,Belanja Bahan Pelatihan Vokasi Bidang Industri dan Jasa Reguler,COMPLETED,22526562,22526562
KEMENTERIAN KETENAGAKERJAAN,BADAN PERENCANAAN DAN PENGEMBANGAN KETENAGAKERJAAN - 452677,01KN6GY490WP8KJC9HDB4TVXD8,62532437,2026,E-Katalog 6.0,APBN,ANUGERAH SOLUSI CEMERLANG,E-Purchasing,Barang,Laptop,PAYMENT OUTSIDE SYSTEM,14518800,14518800
KEMENTERIAN KETENAGAKERJAAN,DITJEN PHI DAN JAMSOS - ,01KJCEBR134V18FFEW3F2S3DRJ,65241381,2026,E-Katalog 6.0,APBN,JAVA PARADISE ISLAND,E-Purchasing,Jasa Lainnya,Paket Meeting Fullboard - Penguatan Teknik PPHI BUMN (Luar Kota),COMPLETED,182000000,182000000
KEMENTERIAN KETENAGAKERJAAN,DITJEN PHI DAN JAMSOS - ,01KPQETQB526QZQCR37RGYYVXQ,66258192,2026,E-Katalog 6.0,APBN,GUNA SETIA WISATA,E-Purchasing,Jasa Lainnya,Paket Fullboard Peserta dan Panitia,COMPLETED,62700000,62700000
KEMENTERIAN KETENAGAKERJAAN,DITJEN PHI DAN JAMSOS - ,01KH07PRW9SVJ8GY5TC4N3HKJQ,65242517,2026,E-Katalog 6.0,APBN,KAYANA ADHIKARI NUSANTARA,E-Purchasing,Jasa Lainnya,Paket Meeting Fullboard Moderator Penyelenggara dan Peserta - Konsultasi Teknis PPHI pada PHI/MA,PAYMENT OUTSIDE SYSTEM,174800000,174800000
KEMENTERIAN KETENAGAKERJAAN,INSPEKTORAT JENDERAL - 259031,01KNV289XT40428RGCK902ZEVP,66877021,2026,E-Katalog 6.0,APBN,BOGOR RAYA DEVELOPMENT,E-Purchasing,Barang,Meeting Fullboard Rapat Koordinasi Strategi Pengawasan Tahun 2026,PAYMENT OUTSIDE SYSTEM,373860000,373860000
KEMENTERIAN KETENAGAKERJAAN,BALAI PELATIHAN VOKASI DAN PRODUKTIVITAS SIDOARJO - 050302,01KMX6VC4HZFEX26F9S8014J97,66473604,2026,E-Katalog 6.0,APBN,BANGUN KARYA,E-Purchasing,Barang,Bahan Pelatihan Tailor Made Training 160 JP A,COMPLETED,50056560,50056560
