id;No;Kode/ID paket;Nama paket;Jenis Pengadaan (barang/jasa/konstruksi/lainnya);Nilai Paket (Rp);Lokasi;Waktu pengadaan (bulan/triwulan);Skema (tender/e-purchasing/katalog/lainnya);Kendala;Mitigasi;RO;REALISASI
251;1;42092570;Pemberian Bantuan Tenaga Kerja Mandiri Pemula - Bantuan Tenaga Kerja Mandiri (TKM) Pemula;Barang;32500000000;DKI Jakarta, Jakarta Selatan (Kota);Januari;Swakelola;;;Bantuan Tenaga Kerja Mandiri (TKM) Pemula;0
252;2;63512366;Belanja Bahan, SCREENING TUBERKULOSIS BAGI TENAGA KERJA;Barang;17700000;DKI Jakarta, Jakarta Selatan (Kota) Jl. Jendral Gatot Subroto Kav. 51;Januari;Pengadaan Langsung;;;Layanan Penanggulangan Tuberkulosis di Tempat Kerja;0
253;3;63607948;Belanja Bahan Kegiatan Rapat Koordinasi LSP;Barang;7750000;DKI Jakarta, Jakarta Selatan (Kota) Gd. BNSP, Jl. MT. Haryono Kav. 52, Cikoko, Pancoran, Jakarta Selatan;Juli;E-Purchasing;;;Tenaga kerja yang mendapatkan Sertifikat Kompetensi Kerja;0
254;4;63607949;Belanja Bahan Pelaporan Rapat Koordinasi LSP;Barang;365000;DKI Jakarta, Jakarta Selatan (Kota) Gd. BNSP, Jl. MT. Haryono Kav. 52, Cikoko, Pancoran, Jakarta Selatan;Juli;Pengadaan Langsung;;;Tenaga kerja yang mendapatkan Sertifikat Kompetensi Kerja;0
255;5;62638330;Belanja Bahan Pelaporan Pengelolaan dan Pengembangan Website;Barang;300000;DKI Jakarta, Jakarta Selatan (Kota) Gd. BNSP, Jl. MT. Haryono Kav. 52, Cikoko, Pancoran, Jakarta Selatan;Juli;Pengadaan Langsung;;;Tenaga kerja yang mendapatkan Sertifikat Kompetensi Kerja;0
256;;63607743;Belanja Bahan Pelaporan Penyusunan Buku Datin;Barang;375000;DKI Jakarta, Jakarta Selatan (Kota) Gd. BNSP, Jl. MT. Haryono Kav. 52, Cikoko, Pancoran, Jakarta Selatan;Oktober;Pengadaan Langsung;;;Tenaga kerja yang mendapatkan Sertifikat Kompetensi Kerja;0
257;;63602916;Belanja Bahan Pelaporan Pameran;Barang;300000;DKI Jakarta, Jakarta Selatan (Kota) Gd. BNSP, Jl. MT. Haryono Kav. 52, Cikoko, Pancoran, Jakarta Selatan;Juli;Pengadaan Langsung;;;Tenaga kerja yang mendapatkan Sertifikat Kompetensi Kerja;0
258;;62638218;Belanja Bahan Pengiriman Surat Dinas Pos Pusat;Jasa Lainnya;120000000;DKI Jakarta, Jakarta Selatan (Kota) Gd. BNSP, Jl. MT. Haryono Kav. 52, Cikoko, Pancoran, Jakarta Selatan;April;Dikecualikan;;;Tenaga kerja yang mendapatkan Sertifikat Kompetensi Kerja;0
259;;63607740;Belanja Bahan Pencetakan Buku Informasi BNSP;Barang;10000000;DKI Jakarta, Jakarta Selatan (Kota) Gd. BNSP, Jl. MT. Haryono Kav. 52, Cikoko, Pancoran, Jakarta Selatan;Juni;Pengadaan Langsung;;;Tenaga kerja yang mendapatkan Sertifikat Kompetensi Kerja;0
260;;63607741;Belanja Jasa Lainnya Pembuatan Buku Laporan Kinerja Tahunan BNSP;Jasa Lainnya;40000000;DKI Jakarta, Jakarta Selatan (Kota) Gd. BNSP, Jl. MT. Haryono Kav. 52, Cikoko, Pancoran, Jakarta Selatan;Juli;Pengadaan Langsung;;;Tenaga kerja yang mendapatkan Sertifikat Kompetensi Kerja;0
261;;63607741;Belanja Bahan Kegiatan Penyusunan Buku Datin Sertifikasi;Barang;13380000;DKI Jakarta, Jakarta Selatan (Kota) Gd. BNSP, Jl. MT. Haryono Kav. 52, Cikoko, Pancoran, Jakarta Selatan;Juli;E-Purchasing;;;Tenaga kerja yang mendapatkan Sertifikat Kompetensi Kerja;0
262;;63607742;Belanja Jasa Lainnya Pengelolaan dan Pengembangan Website;Jasa Lainnya;172600000;DKI Jakarta, Jakarta Selatan (Kota) Gd. BNSP, Jl. MT. Haryono Kav. 52, Cikoko, Pancoran, Jakarta Selatan;Februari;E-Purchasing;;;Tenaga kerja yang mendapatkan Sertifikat Kompetensi Kerja;0
