id_paket_anggaran_penyedia;kd_klpd;kd_satker_str;sumber_dana;tahun_anggaran_dana;status_delete_rup;status_aktif_rup;status_umumkan_rup;mak;pagu;kd_kegiatan;kd_rup;kd_komponen;nama_satker;asal_dana;jenis_klpd;asal_dana_satker;jenis_dana_apbn;kd_satker;nama_klpd;asal_dana_klpd;tahun_anggaran;last_update_ref;kd_rup_lokal;kd_subkegiatan
577938912;K34;209255;APBN;2026;FALSE;TRUE;Terumumkan;DL.4057.SCO.003.071.0A.521211;3780000;13618810;62440033;5167636;Balai Pelatihan Vokasi dan Produktivitas Kendari;K34;KEMENTERIAN;Balai Pelatihan Vokasi dan Produktivitas Kendari;PNBP;14127;Kementerian Ketenagakerjaan;Kementerian Ketenagakerjaan;2026;7dac5ffe-9c0e-5e16-a713-d4bbc1ea1608.bh6AcD-xO1P6-iCy.M9ONiPfZ02yetb-KjUZsSorc97aimqBmQRJ-0l_PiaA;;
589464004;K34;451270;APBN;2026;FALSE;TRUE;Terumumkan;WA.6623.EBA.994.002.0H.521111;69920000;13668985;65430587;5228580;Ditjen Pembinaan Hubungan Industrial dan Jaminan Sosial Tenaga Kerja;K34;KEMENTERIAN;Ditjen Pembinaan Hubungan Industrial dan Jaminan Sosial Tenaga Kerja;RUPIAH MURNI;14076;Kementerian Ketenagakerjaan;Kementerian Ketenagakerjaan;2026;7dac5ffe-9c0e-5e16-a713-d4bbc1ea1608.bh6AcD-xO1P6-iCy.M9ONiPfZ02yetb-KjUZsSorc97aimqBmQRJ-0l_PiaA;;
593916031;K34;452652;APBN;2026;FALSE;TRUE;Terumumkan;DL.4057.SCO.027.063.0A.521211;68000000;13834096;66379600;5299573;Balai Besar Pelatihan Vokasi dan Produktivitas Makassar;K34;KEMENTERIAN;Balai Besar Pelatihan Vokasi dan Produktivitas Makassar;RUPIAH MURNI;14123;Kementerian Ketenagakerjaan;Kementerian Ketenagakerjaan;2026;7dac5ffe-9c0e-5e16-a713-d4bbc1ea1608.bh6AcD-xO1P6-iCy.M9ONiPfZ02yetb-KjUZsSorc97aimqBmQRJ-0l_PiaA;;
593148846;K34;626132;APBN;2026;FALSE;TRUE;Terumumkan;DL.4057.SCO.001.052.0C.521219;125000000;13692909;66246855;5255616;Direktorat Bina Penyelenggaraan Pelatihan Vokasi dan Pemagangan;K34;KEMENTERIAN;Direktorat Bina Penyelenggaraan Pelatihan Vokasi dan Pemagangan;RUPIAH MURNI;178609;Kementerian Ketenagakerjaan;Kementerian Ketenagakerjaan;2026;7dac5ffe-9c0e-5e16-a713-d4bbc1ea1608.bh6AcD-xO1P6-iCy.M9ONiPfZ02yetb-KjUZsSorc97aimqBmQRJ-0l_PiaA;;
594085903;K34;452589;APBN;2026;FALSE;TRUE;Terumumkan;DL.4057.SCO.005.052.0A.521211;21600000;13676517;66416759;5240089;Balai Pelatihan Vokasi dan Produktivitas Sorong;K34;KEMENTERIAN;Balai Pelatihan Vokasi dan Produktivitas Sorong;PNBP;14131;Kementerian Ketenagakerjaan;Kementerian Ketenagakerjaan;2026;7dac5ffe-9c0e-5e16-a713-d4bbc1ea1608.bh6AcD-xO1P6-iCy.M9ONiPfZ02yetb-KjUZsSorc97aimqBmQRJ-0l_PiaA;;
583516612;K34;451139;APBN;2026;FALSE;TRUE;Terumumkan;DN.7907.QDC.001.051.0A.521211;34200000;13671005;63925120;5231730;Ditjen Pembinaan Penempatan Tenaga Kerja dan Perluasan Kesempatan Kerja;K34;KEMENTERIAN;Ditjen Pembinaan Penempatan Tenaga Kerja dan Perluasan Kesempatan Kerja;RUPIAH MURNI;14069;Kementerian Ketenagakerjaan;Kementerian Ketenagakerjaan;2026;7dac5ffe-9c0e-5e16-a713-d4bbc1ea1608.bh6AcD-xO1P6-iCy.M9ONiPfZ02yetb-KjUZsSorc97aimqBmQRJ-0l_PiaA;;
578154043;K34;451108;APBN;2026;FALSE;TRUE;Terumumkan;WA.6988.EBA.994.002.0A.523121;67248000;13663942;62514113;5220520;Balai Pelatihan Vokasi dan Produktivitas Samarinda;K34;KEMENTERIAN;Balai Pelatihan Vokasi dan Produktivitas Samarinda;RUPIAH MURNI;14122;Kementerian Ketenagakerjaan;Kementerian Ketenagakerjaan;2026;7dac5ffe-9c0e-5e16-a713-d4bbc1ea1608.bh6AcD-xO1P6-iCy.M9ONiPfZ02yetb-KjUZsSorc97aimqBmQRJ-0l_PiaA;;
593925623;K34;690633;APBN;2026;FALSE;TRUE;Terumumkan;DN.2175.BDC.004.051.0C.521211;2300000;13973819;66383624;5357450;Balai Perluasan Kesempatan Kerja Kendari;K34;KEMENTERIAN;Balai Perluasan Kesempatan Kerja Kendari;PNBP;161828;Kementerian Ketenagakerjaan;Kementerian Ketenagakerjaan;2026;7dac5ffe-9c0e-5e16-a713-d4bbc1ea1608.bh6AcD-xO1P6-iCy.M9ONiPfZ02yetb-KjUZsSorc97aimqBmQRJ-0l_PiaA;;
600238604;K34;021212;APBN;2026;FALSE;TRUE;Terumumkan;DL.4057.SCO.003.051.0B.521211;21600000;;67368048;5171854;Balai Pelatihan Vokasi dan Produktivitas Bandung Barat;K34;KEMENTERIAN;Balai Pelatihan Vokasi dan Produktivitas Bandung Barat;RUPIAH MURNI;94422;Kementerian Ketenagakerjaan;Kementerian Ketenagakerjaan;2026;7dac5ffe-9c0e-5e16-a713-d4bbc1ea1608.bh6AcD-xO1P6-iCy.M9ONiPfZ02yetb-KjUZsSorc97aimqBmQRJ-0l_PiaA;;
592690421;K34;451026;APBN;2026;FALSE;TRUE;Terumumkan;WA.6620.EBD.954.051.0B.521211;15000000;13623330;66148055;5174026;Ditjen Pembinaan Pelatihan Vokasi dan Produktivitas;K34;KEMENTERIAN;Ditjen Pembinaan Pelatihan Vokasi dan Produktivitas;RUPIAH MURNI;177670;Kementerian Ketenagakerjaan;Kementerian Ketenagakerjaan;2026;7dac5ffe-9c0e-5e16-a713-d4bbc1ea1608.bh6AcD-xO1P6-iCy.M9ONiPfZ02yetb-KjUZsSorc97aimqBmQRJ-0l_PiaA;;
