kd_satker_str;kd_subkegiatan;tahun_anggaran;asal_dana_klpd;kd_komponen;kd_satker;kd_rup_lokal;status_delete_rup;mak;tahun_anggaran_dana;jenis_klpd;kd_klpd;kd_rup;pagu;asal_dana_satker;kd_kegiatan;status_umumkan_rup;nama_satker;sumber_dana;asal_dana;id_paket_anggaran_swakelola;nama_klpd;jenis_dana_apbn;status_aktif_rup;last_update_ref
452652;;2026;Kementerian Ketenagakerjaan;5299598;14123;;FALSE;DL.4057.SCO.026.057.0B.524111;2026;KEMENTERIAN;K34;43133489;7048000;Balai Besar Pelatihan Vokasi dan Produktivitas Makassar;13834096;Terumumkan;Balai Besar Pelatihan Vokasi dan Produktivitas Makassar;APBN;K34;593924000;Kementerian Ketenagakerjaan;RUPIAH MURNI;TRUE;4a81064f-5446-54e8-95e7-c4cf23085862.sxcXbG7il-WYXUU-.SMfXSDEkv-DiN_ZrzFccGjJXf_L4NtzLhsZBC2nI1MY
259322;;2026;Kementerian Ketenagakerjaan;5281619;14075;;FALSE;DN.2175.BDC.006.051.0b.522131;2026;KEMENTERIAN;K34;42916230;638220000;Balai Besar Perluasan Kesempatan Kerja Bandung Barat;13767529;Terumumkan;Balai Besar Perluasan Kesempatan Kerja Bandung Barat;APBN;K34;591352562;Kementerian Ketenagakerjaan;PNBP;TRUE;4a81064f-5446-54e8-95e7-c4cf23085862.sxcXbG7il-WYXUU-.SMfXSDEkv-DiN_ZrzFccGjJXf_L4NtzLhsZBC2nI1MY
051102;;2026;Kementerian Ketenagakerjaan;5407683;152210;;FALSE;DL.4057.SCO.030.055.0A.522151;2026;KEMENTERIAN;K34;43532304;4800000;Balai Pelatihan Vokasi dan Produktivitas Banyuwangi;13610373;Terumumkan;Balai Pelatihan Vokasi dan Produktivitas Banyuwangi;APBN;K34;600991996;Kementerian Ketenagakerjaan;PNBP;TRUE;4a81064f-5446-54e8-95e7-c4cf23085862.sxcXbG7il-WYXUU-.SMfXSDEkv-DiN_ZrzFccGjJXf_L4NtzLhsZBC2nI1MY
452652;;2026;Kementerian Ketenagakerjaan;5299587;14123;;FALSE;DL.4057.SCO.027.061.0B.521115;2026;KEMENTERIAN;K34;43132241;6940000;Balai Besar Pelatihan Vokasi dan Produktivitas Makassar;13834096;Terumumkan;Balai Besar Pelatihan Vokasi dan Produktivitas Makassar;APBN;K34;593914435;Kementerian Ketenagakerjaan;RUPIAH MURNI;TRUE;4a81064f-5446-54e8-95e7-c4cf23085862.sxcXbG7il-WYXUU-.SMfXSDEkv-DiN_ZrzFccGjJXf_L4NtzLhsZBC2nI1MY
452652;;2026;Kementerian Ketenagakerjaan;5299571;14123;;FALSE;DL.4057.SCO.026.052.0B.521213;2026;KEMENTERIAN;K34;43133816;2400000;Balai Besar Pelatihan Vokasi dan Produktivitas Makassar;13834096;Terumumkan;Balai Besar Pelatihan Vokasi dan Produktivitas Makassar;APBN;K34;593926672;Kementerian Ketenagakerjaan;RUPIAH MURNI;TRUE;4a81064f-5446-54e8-95e7-c4cf23085862.sxcXbG7il-WYXUU-.SMfXSDEkv-DiN_ZrzFccGjJXf_L4NtzLhsZBC2nI1MY
626041;;2026;Kementerian Ketenagakerjaan;5224491;179088;;FALSE;DN.2175.BEI.010.051.0A.526312;2026;KEMENTERIAN;K34;42092444;18000000000;Direktorat Bina Perluasan Kesempatan Kerja;13666446;Terumumkan;Direktorat Bina Perluasan Kesempatan Kerja;APBN;K34;582856851;Kementerian Ketenagakerjaan;PNBP;TRUE;4a81064f-5446-54e8-95e7-c4cf23085862.sxcXbG7il-WYXUU-.SMfXSDEkv-DiN_ZrzFccGjJXf_L4NtzLhsZBC2nI1MY
051102;;2026;Kementerian Ketenagakerjaan;5407686;152210;;FALSE;DL.4057.SCO.030.052.0A.522151;2026;KEMENTERIAN;K34;43531412;8000000;Balai Pelatihan Vokasi dan Produktivitas Banyuwangi;13610373;Terumumkan;Balai Pelatihan Vokasi dan Produktivitas Banyuwangi;APBN;K34;600958732;Kementerian Ketenagakerjaan;PNBP;TRUE;4a81064f-5446-54e8-95e7-c4cf23085862.sxcXbG7il-WYXUU-.SMfXSDEkv-DiN_ZrzFccGjJXf_L4NtzLhsZBC2nI1MY
452652;;2026;Kementerian Ketenagakerjaan;5299590;14123;;FALSE;DL.4057.SCO.037.054.0A.522151;2026;KEMENTERIAN;K34;43127313;52400000;Balai Besar Pelatihan Vokasi dan Produktivitas Makassar;13834096;Terumumkan;Balai Besar Pelatihan Vokasi dan Produktivitas Makassar;APBN;K34;593891690;Kementerian Ketenagakerjaan;RUPIAH MURNI;TRUE;4a81064f-5446-54e8-95e7-c4cf23085862.sxcXbG7il-WYXUU-.SMfXSDEkv-DiN_ZrzFccGjJXf_L4NtzLhsZBC2nI1MY
051102;;2026;Kementerian Ketenagakerjaan;5407686;152210;;FALSE;DL.4057.SCO.030.052.0A.521213;2026;KEMENTERIAN;K34;43531414;5800000;Balai Pelatihan Vokasi dan Produktivitas Banyuwangi;13610373;Terumumkan;Balai Pelatihan Vokasi dan Produktivitas Banyuwangi;APBN;K34;600958763;Kementerian Ketenagakerjaan;PNBP;TRUE;4a81064f-5446-54e8-95e7-c4cf23085862.sxcXbG7il-WYXUU-.SMfXSDEkv-DiN_ZrzFccGjJXf_L4NtzLhsZBC2nI1MY
452652;;2026;Kementerian Ketenagakerjaan;5299577;14123;;FALSE;DL.4057.SCO.037.051.0B.521115;2026;KEMENTERIAN;K34;43131715;6940000;Balai Besar Pelatihan Vokasi dan Produktivitas Makassar;13834096;Terumumkan;Balai Besar Pelatihan Vokasi dan Produktivitas Makassar;APBN;K34;593910220;Kementerian Ketenagakerjaan;RUPIAH MURNI;TRUE;4a81064f-5446-54e8-95e7-c4cf23085862.sxcXbG7il-WYXUU-.SMfXSDEkv-DiN_ZrzFccGjJXf_L4NtzLhsZBC2nI1MY
