tgl_akhir_pelaksanaan_kontrak;kd_satker_str;tgl_pengumuman_paket;nama_klpd;nip_ppk;pagu;jenis_klpd;nama_paket;status_delete_rup;kd_satker;nama_satker;kd_klpd;kd_rup;tgl_awal_pelaksanaan_kontrak;tgl_buat_paket;kd_klpd_penyelenggara;nama_klpd_penyelenggara;tipe_swakelola;kd_rup_lokal;status_umumkan_rup;volume_pekerjaan;uraian_pekerjaan;nama_satker_penyelenggara;tahun_anggaran;username_ppk;status_aktif_rup;nama_ppk;last_update_ref
2026-12-01;452652;2026-03-11T09:41:28.669Z;Kementerian Ketenagakerjaan;***************003;114903000;KEMENTERIAN;UPTD BLK Bone Bolango;FALSE;14123;Balai Besar Pelatihan Vokasi dan Produktivitas Makassar;K34;43127313;2026-04-01;2026-03-11T00:00:00Z;D77;Kab. Bone Bolango;2;;Terumumkan;1 paket;"1. Belanja Honor Operasional Satuan Kerja; 
2. Belanja Jasa Profesi; 
3. Belanja Perjalanan Dinas Biasa; 
4. Belanja Honor Output Kegiatan; 
5. Belanja Barang Non Operasional Lainnya; 
6. Belanja Barang untuk Bantuan Lainnya yang Memiliki Karakteristik Bantuan Pemerintah ; 
";DINAS TENAGA KERJA, KOPERASI DAN UMKM;2026;*****194;TRUE;Y*** S******;3ce05f5c-6c12-57dc-b061-a4988015c190.WjqGWM0HEjNS_EpR.L7GhsbZnne-nRI2cvyxqd91SpGYOeaHYaSnYpzkfhqw
2026-12-01;452652;2026-03-11T10:35:09.919Z;Kementerian Ketenagakerjaan;***************003;102684000;KEMENTERIAN;UPTD LLK Luwuk;FALSE;14123;Balai Besar Pelatihan Vokasi dan Produktivitas Makassar;K34;43134193;2026-04-01;2026-03-11T00:00:00Z;D427;Kab. Banggai;2;;Terumumkan;1 paket;"1. Belanja Honor Output Kegiatan; 
2. Belanja Barang Non Operasional Lainnya; 
3. Belanja Jasa Profesi; 
4. Belanja Perjalanan Dinas Biasa; 
5. Belanja Honor Operasional Satuan Kerja; 
6. Belanja Barang untuk Bantuan Lainnya yang Memiliki Karakteristik Bantuan Pemerintah ; 
";DINAS TENAGA KERJA DAN TRANSMIGRASI KAB BANGGAI;2026;*****194;TRUE;Y*** S******;3ce05f5c-6c12-57dc-b061-a4988015c190.WjqGWM0HEjNS_EpR.L7GhsbZnne-nRI2cvyxqd91SpGYOeaHYaSnYpzkfhqw
2026-12-01;626041;2026-02-04T18:02:14.728Z;Kementerian Ketenagakerjaan;***************005;32500000000;KEMENTERIAN;Pemberian Bantuan Tenaga Kerja Mandiri Pemula - Bantuan Tenaga Kerja Mandiri (TKM) Pemula;FALSE;179088;Direktorat Bina Perluasan Kesempatan Kerja;K34;42092570;2026-01-01;2026-01-20T00:00:00Z;;;1;;Terumumkan;1 paket;"1. Belanja Barang untuk Bantuan Lainnya yang Memiliki Karakteristik Bantuan Pemerintah ; 
";;2026;**************194;TRUE;E*** Y********, S.K**, M.S*;3ce05f5c-6c12-57dc-b061-a4988015c190.WjqGWM0HEjNS_EpR.L7GhsbZnne-nRI2cvyxqd91SpGYOeaHYaSnYpzkfhqw
2026-12-01;626041;2026-02-04T18:02:14.728Z;Kementerian Ketenagakerjaan;***************005;2000000000;KEMENTERIAN;Bantuan Padat Karya Tematik Kemiskinan Ekstrem yang Diberikan kepada Lembaga - Bantuan Padat Karya Tematik Kemiskinan Ekstrem yang Diberikan kepada Lembaga;FALSE;179088;Direktorat Bina Perluasan Kesempatan Kerja;K34;42092528;2026-01-01;2026-01-20T00:00:00Z;;;1;;Terumumkan;1 paket;"1. Belanja Barang untuk Bantuan Lainnya yang Memiliki Karakteristik Bantuan Pemerintah ; 
";;2026;**************194;TRUE;E*** Y********, S.K**, M.S*;3ce05f5c-6c12-57dc-b061-a4988015c190.WjqGWM0HEjNS_EpR.L7GhsbZnne-nRI2cvyxqd91SpGYOeaHYaSnYpzkfhqw
2026-12-01;452652;2026-03-11T10:36:22.52Z;Kementerian Ketenagakerjaan;***************003;152392000;KEMENTERIAN;UPTD LLK Kab. Toli-Toli;FALSE;14123;Balai Besar Pelatihan Vokasi dan Produktivitas Makassar;K34;43133816;2026-04-01;2026-03-11T00:00:00Z;D430;Kab. Toli Toli;2;;Terumumkan;1 paket;"1. Belanja Honor Output Kegiatan; 
2. Belanja Barang Non Operasional Lainnya; 
3. Belanja Jasa Profesi; 
4. Belanja Barang untuk Bantuan Lainnya yang Memiliki Karakteristik Bantuan Pemerintah ; 
5. Belanja Perjalanan Dinas Biasa; 
6. Belanja Honor Operasional Satuan Kerja; 
";DINAS TENAGA KERJA;2026;*****194;TRUE;Y*** S******;3ce05f5c-6c12-57dc-b061-a4988015c190.WjqGWM0HEjNS_EpR.L7GhsbZnne-nRI2cvyxqd91SpGYOeaHYaSnYpzkfhqw
2026-12-01;452652;2026-03-11T10:03:44.509Z;Kementerian Ketenagakerjaan;***************003;126120000;KEMENTERIAN;UPTD BLK Disnaker Kota Palopo;FALSE;14123;Balai Besar Pelatihan Vokasi dan Produktivitas Makassar;K34;43132501;2026-04-01;2026-03-11T00:00:00Z;D402;Kota Palopo;2;;Terumumkan;1 paket;"1. Belanja Honor Operasional Satuan Kerja; 
2. Belanja Honor Output Kegiatan; 
3. Belanja Barang Non Operasional Lainnya; 
4. Belanja Perjalanan Dinas Biasa; 
5. Belanja Barang untuk Bantuan Lainnya yang Memiliki Karakteristik Bantuan Pemerintah ; 
6. Belanja Jasa Profesi; 
";DINAS SOSIAL TENAGA KERJA DAN TRANSMIGRASI;2026;*****194;TRUE;Y*** S******;3ce05f5c-6c12-57dc-b061-a4988015c190.WjqGWM0HEjNS_EpR.L7GhsbZnne-nRI2cvyxqd91SpGYOeaHYaSnYpzkfhqw
2026-12-01;452652;2026-03-11T10:34:13.87Z;Kementerian Ketenagakerjaan;***************003;106844000;KEMENTERIAN;UPTD LLK Tojo Una-Una;FALSE;14123;Balai Besar Pelatihan Vokasi dan Produktivitas Makassar;K34;43133489;2026-04-01;2026-03-11T00:00:00Z;D424;Kab. Tojo Una Una;2;;Terumumkan;1 paket;"1. Belanja Barang Non Operasional Lainnya; 
2. Belanja Jasa Profesi; 
3. Belanja Honor Operasional Satuan Kerja; 
4. Belanja Honor Output Kegiatan; 
5. Belanja Perjalanan Dinas Biasa; 
6. Belanja Barang untuk Bantuan Lainnya yang Memiliki Karakteristik Bantuan Pemerintah ; 
";Dinas Tenaga Kerja dan Transmigrasi;2026;*****194;TRUE;Y*** S******;3ce05f5c-6c12-57dc-b061-a4988015c190.WjqGWM0HEjNS_EpR.L7GhsbZnne-nRI2cvyxqd91SpGYOeaHYaSnYpzkfhqw
2026-11-01;259322;2026-03-03T12:34:47.289Z;Kementerian Ketenagakerjaan;***************002;638220000;KEMENTERIAN;Pekerjaan Swakelola Jasa Pendampingan TKM Lanjutan;FALSE;14075;Balai Besar Perluasan Kesempatan Kerja Bandung Barat;K34;42916320;2026-09-01;2026-02-24T00:00:00Z;;;3;;Terumumkan;1 PAKET;"1. Penyediaan tenaga pendamping usaha sesuai dengan sebaran lokasi TKM Lanjutan yang ditentukan 
2. Penugasan pendamping TKM Lanjutan 
3. Pelaksanaan temu bisnis 
4. Monitoring dan evaluasi kinerja pendamping TKM Lanjutan 
5. Penyusunan kajian berdasarkan topik yang telah ditentukan 
6. Penyusunan laporan kegiatan pendampingan TKM Lanjutan";;2026;************************048;TRUE;W**** M********;3ce05f5c-6c12-57dc-b061-a4988015c190.WjqGWM0HEjNS_EpR.L7GhsbZnne-nRI2cvyxqd91SpGYOeaHYaSnYpzkfhqw
2026-11-01;259322;2026-03-03T12:34:47.289Z;Kementerian Ketenagakerjaan;***************002;638220000;KEMENTERIAN;Pekerjaan Swakelola Jasa Pendampingan TKM Lanjutan ;FALSE;14075;Balai Besar Perluasan Kesempatan Kerja Bandung Barat;K34;42789773;2026-09-01;2026-02-24T00:00:00Z;PT5;Universitas Indonesia;2;;Terumumkan;1 PAKET;"1. Penyediaan tenaga pendamping usaha sesuai dengan sebaran lokasi TKM Lanjutan yang ditentukan
2. Penugasan pendamping TKM Lanjutan
3. Pelaksanaan temu bisnis
4. Monitoring dan evaluasi kinerja pendamping TKM Lanjutan
5. Penyusunan kajian berdasarkan topik yang telah ditentukan
6. Penyusunan laporan kegiatan pendampingan TKM Lanjutan
";Universitas Indonesia;2026;************************048;TRUE;W**** M********;3ce05f5c-6c12-57dc-b061-a4988015c190.WjqGWM0HEjNS_EpR.L7GhsbZnne-nRI2cvyxqd91SpGYOeaHYaSnYpzkfhqw
2026-12-01;452652;2026-03-11T09:41:00.276Z;Kementerian Ketenagakerjaan;***************003;114903000;KEMENTERIAN;UPTD BLK Prov. Gorontalo;FALSE;14123;Balai Besar Pelatihan Vokasi dan Produktivitas Makassar;K34;43131715;2026-04-01;2026-03-11T00:00:00Z;D76;Provinsi Gorontalo;2;;Terumumkan;1 paket;"1. Belanja Barang untuk Bantuan Lainnya yang Memiliki Karakteristik Bantuan Pemerintah ; 
2. Belanja Honor Output Kegiatan; 
3. Belanja Barang Non Operasional Lainnya; 
4. Belanja Jasa Profesi; 
5. Belanja Honor Operasional Satuan Kerja; 
6. Belanja Perjalanan Dinas Biasa; 
";Dinas Tenaga Kerja ESDM dan Transmigrasi Provinsi Gorontalo;2026;*****194;TRUE;Y*** S******;3ce05f5c-6c12-57dc-b061-a4988015c190.WjqGWM0HEjNS_EpR.L7GhsbZnne-nRI2cvyxqd91SpGYOeaHYaSnYpzkfhqw
