nama_satuan_kerja,belanja_pengadaan,total_rup,total_perencanaan_penyedia,total_perencanaan_swakelola,rup_terhadap_belanja_pengadaan,barang,pekerjaan_konstruksi,jasa_konsultasi,jasa_lainnya,terintegrasi_gabungan,tender_seleksi,epurchasing,pengadaan_langsung,penunjukan_langsung,metode_lainnya
DIREKTORAT BINA KELEMBAGAAN PELATIHAN VOKASI,325590838341,465981804250,465981804250,0,143.12,14407950000,428060208000,18847692250,4665954000,0,446697900250,15142441000,2614571000,0,18637692250
BADAN PERENCANAAN DAN PENGEMBANGAN KETENAGAKERJAAN,144934154000,152038370000,152038370000,0,104.9,48631310000,0,11903007000,91504053000,0,29753855000,117161202000,4923313000,200000000,954750000
SEKRETARIAT JENDERAL,119376348500,116113394000,116113394000,0,97.27,18101251000,2345598000,16837972000,78828573000,0,0,36160713000,33101606000,876700000,36438372000
DIREKTORAT BINA PERLUASAN KESEMPATAN KERJA,75193102000,75139714000,5139714000,70000000000,99.93,827836000,0,0,4311878000,0,0,4137878000,992496000,0,0
PUSAT PASAR KERJA,68730855000,68730855000,68730855000,0,100,1950998000,57674000,6630575000,60091608000,0,13437266000,53509926000,1487663000,200000000,6146975000
DITJEN PEMBINAAN PELATIHAN VOKASI DAN PRODUKTIVITAS,32953429000,32978058327,32978058327,0,100.07,3400160000,2351886000,460000,22456114327,0,0,11003975327,10707871000,0,4769438000
DITJEN PEMBINAAN HUBUNGAN INDUSTRIAL DAN JAMINAN SOSIAL TENAGA KERJA,32880745000,32936117000,32936117000,0,100.17,5960669000,0,982408000,25993040000,0,0,24965671000,7276214000,448886000,0
DITJEN PEMBINAAN PENEMPATAN TENAGA KERJA DAN PERLUASAN KESEMPATAN KERJA,29430983000,29456038000,29456038000,0,100.09,10657482000,0,8613330000,10185226000,0,0,18940391000,1947681000,885116000,7655850000
DITJEN PEMBINAAN PENGAWASAN KETENAGAKERJAAN DAN KESELAMATAN DAN KESEHATAN KERJA,27989843500,32491453000,32491453000,0,116.08,9896669000,0,0,22594784000,0,0,8171507000,17286389000,1445541000,0
BALAI BESAR PELATIHAN VOKASI DAN PRODUKTIVITAS BEKASI,25816918000,20193875000,20193875000,0,78.22,12309248000,137094000,38080000,7709453000,0,0,4806544000,15387331000,0,0
DIREKTORAT BINA PENYELENGGARAAN PELATIHAN VOKASI DAN PEMAGANGAN,21236495000,20286495000,20286495000,0,95.53,9731656000,0,2732630000,7822209000,0,4667820000,1222815000,14333160000,0,2732630000
BALAI BESAR PELATIHAN VOKASI DAN PRODUKTIVITAS SEMARANG,19554936000,19554936000,19554936000,0,100,14467470000,794493000,0,4292973000,0,0,9722589000,7861539000,0,0
BALAI BESAR PELATIHAN VOKASI DAN PRODUKTIVITAS SERANG,19142612000,35850511000,35850511000,0,187.28,26501378000,0,14007000,9335126000,0,0,26460640000,7635471000,0,0
BALAI PELATIHAN VOKASI DAN PRODUKTIVITAS LOMBOK TIMUR,17999498000,17995690000,17995690000,0,99.98,14550914000,1019520000,0,2425256000,0,0,15388452000,2027910000,0,0
BALAI PELATIHAN VOKASI DAN PRODUKTIVITAS PADANG,17650121000,17650121000,17650121000,0,100,82160000,0,0,17567961000,0,0,4801784000,12848337000,0,0
BALAI PELATIHAN VOKASI DAN PRODUKTIVITAS SURAKARTA,17482172600,18425404600,18425404600,0,105.4,10149217600,0,0,8276187000,0,0,12626659400,5798745200,0,0
BALAI BESAR PELATIHAN VOKASI DAN PRODUKTIVITAS MAKASSAR,16903335000,16903335000,15592235000,1311100000,100,12651443000,257382000,0,2683410000,0,0,4837490000,9488745000,0,0
BALAI BESAR PELATIHAN VOKASI DAN PRODUKTIVITAS MEDAN,15818630000,15818630000,15818630000,0,100,9590051000,176265000,0,6052314000,0,0,5255532000,10563098000,0,0
BALAI BESAR PELATIHAN VOKASI DAN PRODUKTIVITAS BANDUNG,15379447028,15086408000,15086408000,0,98.09,7461411000,432155000,0,7192842000,0,0,7741784000,6864624000,0,0
BALAI PELATIHAN VOKASI DAN PRODUKTIVITAS SAMARINDA,15149671000,15149671000,15149671000,0,100,8887820000,0,0,6261851000,0,0,6344840000,8228569000,0,0
BALAI PELATIHAN VOKASI DAN PRODUKTIVITAS BANYUWANGI,15065794000,11768672000,11413212000,355460000,78.12,8479996000,120491000,0,2812725000,0,0,9031813000,1399399000,0,0
BALAI PELATIHAN VOKASI DAN PRODUKTIVITAS SIDOARJO,13894425000,13894425000,13894425000,0,100,10474898000,0,0,3419527000,0,0,2281740000,11612685000,0,0
BALAI PELATIHAN VOKASI DAN PRODUKTIVITAS BANDUNG BARAT,12912569000,13605713000,13605713000,0,105.37,9164607000,0,0,4441106000,33920000,0,2815820000,10147893000,0,0
SEKRETARIAT BADAN NASIONAL SERTIFIKASI PROFESI,12475960000,12749620000,12579620000,170000000,102.19,3173935000,114750000,0,9290935000,0,0,7326875000,699638000,0,3700407000
POLITEKNIK KETENAGAKERJAAN,11941140000,11941140000,11941140000,0,100,2698177000,240000000,0,9002963000,0,0,5488155800,6452984200,0,0
BALAI BESAR PERLUASAN KESEMPATAN KERJA BANDUNG BARAT,10673536000,11319029000,8127929000,3191100000,106.05,1222281000,1757409000,290200000,4858039000,0,0,4746388000,2693161000,0,200000000
PUSAT PENGEMBANGAN SDM KETENAGAKERJAAN,9583691000,9584171000,9584171000,0,100.01,2855407000,205955000,0,6522809000,0,0,8602578000,981593000,0,0
BALAI PELATIHAN VOKASI DAN PRODUKTIVITAS SORONG,8299662000,8299662000,8299662000,0,100,5759732000,0,0,2539930000,0,0,67200000,7751806000,2720000,0
BALAI PELATIHAN VOKASI DAN PRODUKTIVITAS TERNATE,8101700000,8075044000,8075044000,0,99.67,4850010000,0,0,3225034000,0,0,2040124000,5424648000,0,0
BALAI PELATIHAN VOKASI DAN PRODUKTIVITAS BANDA ACEH,7977163000,7977163000,7977163000,0,100,5034705000,122492000,0,2819966000,0,0,1647246000,5650109000,5000000,0
BALAI PELATIHAN VOKASI DAN PRODUKTIVITAS KENDARI,7674154000,7695515000,7695515000,0,100.28,5897297000,471286000,10520000,1316412000,0,0,536742000,6655105000,0,0
INSPEKTORAT JENDERAL,7105856000,7105856000,7105856000,0,100,2446503000,0,1350000,4658003000,0,0,3845134000,2888538000,0,0
BALAI PELATIHAN VOKASI DAN PRODUKTIVITAS AMBON,6832878000,6748878000,6748878000,0,98.77,4194721000,0,1162000,2552995000,0,0,1023000000,5040378000,1500000,0
BALAI PELATIHAN VOKASI DAN PRODUKTIVITAS BANTAENG,6349221000,6534521000,6534521000,0,102.92,4788754000,327940000,0,1417827000,0,0,1599365000,4935156000,0,0
BALAI PERLUASAN KESEMPATAN KERJA BEKASI,5864189000,5864189000,5864189000,0,100,4269440000,0,0,1594749000,0,0,1511609000,4352580000,0,0
BALAI PELATIHAN VOKASI DAN PRODUKTIVITAS PANGKAJENE DAN KEPULAUAN,5695222000,5695222000,5695222000,0,100,4064832000,104812000,0,1525578000,0,0,2977844000,2307160000,0,0
BALAI PELATIHAN VOKASI DAN PRODUKTIVITAS BELITUNG,4913430000,3291091000,3291091000,0,66.98,1964238000,0,0,1326853000,0,0,1821191000,1454124000,0,0
BALAI BESAR KESELAMATAN DAN KESEHATAN KERJA JAKARTA,4310561000,4310561000,4280263000,30298000,100,428404000,0,140637000,3711222000,0,0,2555465000,856358000,0,0
BALAI KESELAMATAN DAN KESEHATAN KERJA BANDUNG,3352889000,3352889000,3352889000,0,100,818711000,210969000,0,2323209000,0,0,2071951000,884938000,0,0
