nama_satker,status_umumkan_rup,asal_dana,jenis_klpd,asal_dana_satker,kd_kegiatan,kd_satker_str,tahun_anggaran_dana,kd_subkegiatan,jenis_dana_apbn,kd_komponen,kd_rup_lokal,id_paket_anggaran_penyedia,kd_klpd,status_aktif_rup,tahun_anggaran,asal_dana_klpd,pagu,sumber_dana,kd_rup,mak,nama_klpd,kd_satker,status_delete_rup,last_update_ref
Balai Pelatihan Vokasi dan Produktivitas Kendari,Terumumkan,K34,KEMENTERIAN,Balai Pelatihan Vokasi dan Produktivitas Kendari,13618810,209255,2026,,PNBP,5167636,,577938912,K34,true,2026,Kementerian Ketenagakerjaan,3780000,APBN,62440033,DL.4057.SCO.003.071.0A.521211,Kementerian Ketenagakerjaan,14127,false,5809f591-04b2-541e-98c2-10c00ec3f078.5-3tDSuqNHOOOhjN.jBSXMYnlS6zEYXSkWu5rwFQSUYFNFvSvOz7Qzi3430I
DITJEN. PEMBINAAN HUBUNGAN INDUSTRIAL DAN JAMINAN SOSIAL TENAGA KERJA,Terumumkan,K34,KEMENTERIAN,DITJEN. PEMBINAAN HUBUNGAN INDUSTRIAL DAN JAMINAN SOSIAL TENAGA KERJA,13668985,451270,2026,,RUPIAH MURNI,5228580,,589464004,K34,true,2026,Kementerian Ketenagakerjaan,69920000,APBN,65430587,WA.6623.EBA.994.002.0H.521111,Kementerian Ketenagakerjaan,14076,false,5809f591-04b2-541e-98c2-10c00ec3f078.5-3tDSuqNHOOOhjN.jBSXMYnlS6zEYXSkWu5rwFQSUYFNFvSvOz7Qzi3430I
Balai Besar Pelatihan Vokasi dan Produktivitas Makassar,Terumumkan,K34,KEMENTERIAN,Balai Besar Pelatihan Vokasi dan Produktivitas Makassar,13834096,452652,2026,,RUPIAH MURNI,5299573,,593916031,K34,true,2026,Kementerian Ketenagakerjaan,68000000,APBN,66379600,DL.4057.SCO.027.063.0A.521211,Kementerian Ketenagakerjaan,14123,false,5809f591-04b2-541e-98c2-10c00ec3f078.5-3tDSuqNHOOOhjN.jBSXMYnlS6zEYXSkWu5rwFQSUYFNFvSvOz7Qzi3430I
Direktorat Bina Penyelenggaraan Pelatihan Vokasi dan Pemagangan,Terumumkan,K34,KEMENTERIAN,Direktorat Bina Penyelenggaraan Pelatihan Vokasi dan Pemagangan,13692909,626132,2026,,RUPIAH MURNI,5255616,,593148846,K34,true,2026,Kementerian Ketenagakerjaan,125000000,APBN,66246855,DL.4057.SCO.001.052.0C.521219,Kementerian Ketenagakerjaan,178609,false,5809f591-04b2-541e-98c2-10c00ec3f078.5-3tDSuqNHOOOhjN.jBSXMYnlS6zEYXSkWu5rwFQSUYFNFvSvOz7Qzi3430I
Balai Pelatihan Vokasi dan Produktivitas Sorong,Terumumkan,K34,KEMENTERIAN,Balai Pelatihan Vokasi dan Produktivitas Sorong,13676517,452589,2026,,PNBP,5240089,,594085903,K34,true,2026,Kementerian Ketenagakerjaan,21600000,APBN,66416759,DL.4057.SCO.005.052.0A.521211,Kementerian Ketenagakerjaan,14131,false,5809f591-04b2-541e-98c2-10c00ec3f078.5-3tDSuqNHOOOhjN.jBSXMYnlS6zEYXSkWu5rwFQSUYFNFvSvOz7Qzi3430I
Ditjen Pembinaan Penempatan Tenaga Kerja dan Perluasan Kesempatan Kerja,Terumumkan,K34,KEMENTERIAN,Ditjen Pembinaan Penempatan Tenaga Kerja dan Perluasan Kesempatan Kerja,13671005,451139,2026,,RUPIAH MURNI,5231730,,583516612,K34,true,2026,Kementerian Ketenagakerjaan,34200000,APBN,63925120,DN.7907.QDC.001.051.0A.521211,Kementerian Ketenagakerjaan,14069,false,5809f591-04b2-541e-98c2-10c00ec3f078.5-3tDSuqNHOOOhjN.jBSXMYnlS6zEYXSkWu5rwFQSUYFNFvSvOz7Qzi3430I
Balai Pelatihan Vokasi dan Produktivitas Samarinda,Terumumkan,K34,KEMENTERIAN,Balai Pelatihan Vokasi dan Produktivitas Samarinda,13663942,451108,2026,,RUPIAH MURNI,5220520,,578154043,K34,true,2026,Kementerian Ketenagakerjaan,67248000,APBN,62514113,WA.6988.EBA.994.002.0A.523121,Kementerian Ketenagakerjaan,14122,false,5809f591-04b2-541e-98c2-10c00ec3f078.5-3tDSuqNHOOOhjN.jBSXMYnlS6zEYXSkWu5rwFQSUYFNFvSvOz7Qzi3430I
Balai Perluasan Kesempatan Kerja Kendari,Terumumkan,K34,KEMENTERIAN,Balai Perluasan Kesempatan Kerja Kendari,13973819,690633,2026,,PNBP,5357450,,593925623,K34,true,2026,Kementerian Ketenagakerjaan,2300000,APBN,66383624,DN.2175.BDC.004.051.0C.521211,Kementerian Ketenagakerjaan,161828,false,5809f591-04b2-541e-98c2-10c00ec3f078.5-3tDSuqNHOOOhjN.jBSXMYnlS6zEYXSkWu5rwFQSUYFNFvSvOz7Qzi3430I
Balai Pelatihan Vokasi dan Produktivitas Bandung Barat,Terumumkan,K34,KEMENTERIAN,Balai Pelatihan Vokasi dan Produktivitas Bandung Barat,,021212,2026,,RUPIAH MURNI,5171854,,600238604,K34,true,2026,Kementerian Ketenagakerjaan,21600000,APBN,67368048,DL.4057.SCO.003.051.0B.521211,Kementerian Ketenagakerjaan,94422,false,5809f591-04b2-541e-98c2-10c00ec3f078.5-3tDSuqNHOOOhjN.jBSXMYnlS6zEYXSkWu5rwFQSUYFNFvSvOz7Qzi3430I
Ditjen Pembinaan Pelatihan Vokasi dan Produktivitas,Terumumkan,K34,KEMENTERIAN,Ditjen Pembinaan Pelatihan Vokasi dan Produktivitas,13623330,451026,2026,,RUPIAH MURNI,5174026,,592690421,K34,true,2026,Kementerian Ketenagakerjaan,15000000,APBN,66148055,WA.6620.EBD.954.051.0B.521211,Kementerian Ketenagakerjaan,177670,false,5809f591-04b2-541e-98c2-10c00ec3f078.5-3tDSuqNHOOOhjN.jBSXMYnlS6zEYXSkWu5rwFQSUYFNFvSvOz7Qzi3430I
