kd_kegiatan,asal_dana,mak,tahun_anggaran,kd_satker_str,status_umumkan_rup,asal_dana_satker,id_paket_anggaran_swakelola,jenis_dana_apbn,pagu,sumber_dana,jenis_klpd,nama_klpd,status_delete_rup,kd_satker,kd_rup_lokal,nama_satker,tahun_anggaran_dana,kd_komponen,kd_subkegiatan,status_aktif_rup,kd_klpd,kd_rup,asal_dana_klpd,last_update_ref
13834096,K34,DL.4057.SCO.026.057.0B.524111,2026,452652,Terumumkan,Balai Besar Pelatihan Vokasi dan Produktivitas Makassar,593924000,RUPIAH MURNI,7048000,APBN,KEMENTERIAN,Kementerian Ketenagakerjaan,false,14123,,Balai Besar Pelatihan Vokasi dan Produktivitas Makassar,2026,5299598,,true,K34,43133489,Kementerian Ketenagakerjaan,57dbe10c-25b3-5ac2-8bdd-35321ac7748f.MYYEmXEb4YHh-NYV.ZIL-yX29u6BA9DGulrXaCU4OlN8C1BDI7zfwmv4ss68
13767529,K34,DN.2175.BDC.006.051.0b.522131,2026,259322,Terumumkan,BALAI BESAR PERLUASAN KESEMPATAN KERJA,591352562,PNBP,638220000,APBN,KEMENTERIAN,Kementerian Ketenagakerjaan,false,14075,,BALAI BESAR PERLUASAN KESEMPATAN KERJA,2026,5281619,,true,K34,42916230,Kementerian Ketenagakerjaan,57dbe10c-25b3-5ac2-8bdd-35321ac7748f.MYYEmXEb4YHh-NYV.ZIL-yX29u6BA9DGulrXaCU4OlN8C1BDI7zfwmv4ss68
13610373,K34,DL.4057.SCO.030.055.0A.522151,2026,051102,Terumumkan,Balai Pelatihan Vokasi dan Produktivitas Banyuwangi,600991996,PNBP,4800000,APBN,KEMENTERIAN,Kementerian Ketenagakerjaan,false,152210,,Balai Pelatihan Vokasi dan Produktivitas Banyuwangi,2026,5407683,,true,K34,43532304,Kementerian Ketenagakerjaan,57dbe10c-25b3-5ac2-8bdd-35321ac7748f.MYYEmXEb4YHh-NYV.ZIL-yX29u6BA9DGulrXaCU4OlN8C1BDI7zfwmv4ss68
13834096,K34,DL.4057.SCO.027.061.0B.521115,2026,452652,Terumumkan,Balai Besar Pelatihan Vokasi dan Produktivitas Makassar,593914435,RUPIAH MURNI,6940000,APBN,KEMENTERIAN,Kementerian Ketenagakerjaan,false,14123,,Balai Besar Pelatihan Vokasi dan Produktivitas Makassar,2026,5299587,,true,K34,43132241,Kementerian Ketenagakerjaan,57dbe10c-25b3-5ac2-8bdd-35321ac7748f.MYYEmXEb4YHh-NYV.ZIL-yX29u6BA9DGulrXaCU4OlN8C1BDI7zfwmv4ss68
13834096,K34,DL.4057.SCO.026.052.0B.521213,2026,452652,Terumumkan,Balai Besar Pelatihan Vokasi dan Produktivitas Makassar,593926672,RUPIAH MURNI,2400000,APBN,KEMENTERIAN,Kementerian Ketenagakerjaan,false,14123,,Balai Besar Pelatihan Vokasi dan Produktivitas Makassar,2026,5299571,,true,K34,43133816,Kementerian Ketenagakerjaan,57dbe10c-25b3-5ac2-8bdd-35321ac7748f.MYYEmXEb4YHh-NYV.ZIL-yX29u6BA9DGulrXaCU4OlN8C1BDI7zfwmv4ss68
13666446,K34,DN.2175.BEI.010.051.0A.526312,2026,626041,Terumumkan,Direktorat Bina Perluasan Kesempatan Kerja,582856851,PNBP,18000000000,APBN,KEMENTERIAN,Kementerian Ketenagakerjaan,false,179088,,Direktorat Bina Perluasan Kesempatan Kerja,2026,5224491,,true,K34,42092444,Kementerian Ketenagakerjaan,57dbe10c-25b3-5ac2-8bdd-35321ac7748f.MYYEmXEb4YHh-NYV.ZIL-yX29u6BA9DGulrXaCU4OlN8C1BDI7zfwmv4ss68
13610373,K34,DL.4057.SCO.030.052.0A.522151,2026,051102,Terumumkan,Balai Pelatihan Vokasi dan Produktivitas Banyuwangi,600958732,PNBP,8000000,APBN,KEMENTERIAN,Kementerian Ketenagakerjaan,false,152210,,Balai Pelatihan Vokasi dan Produktivitas Banyuwangi,2026,5407686,,true,K34,43531412,Kementerian Ketenagakerjaan,57dbe10c-25b3-5ac2-8bdd-35321ac7748f.MYYEmXEb4YHh-NYV.ZIL-yX29u6BA9DGulrXaCU4OlN8C1BDI7zfwmv4ss68
13834096,K34,DL.4057.SCO.037.054.0A.522151,2026,452652,Terumumkan,Balai Besar Pelatihan Vokasi dan Produktivitas Makassar,593891690,RUPIAH MURNI,52400000,APBN,KEMENTERIAN,Kementerian Ketenagakerjaan,false,14123,,Balai Besar Pelatihan Vokasi dan Produktivitas Makassar,2026,5299590,,true,K34,43127313,Kementerian Ketenagakerjaan,57dbe10c-25b3-5ac2-8bdd-35321ac7748f.MYYEmXEb4YHh-NYV.ZIL-yX29u6BA9DGulrXaCU4OlN8C1BDI7zfwmv4ss68
13610373,K34,DL.4057.SCO.030.052.0A.521213,2026,051102,Terumumkan,Balai Pelatihan Vokasi dan Produktivitas Banyuwangi,600958763,PNBP,5800000,APBN,KEMENTERIAN,Kementerian Ketenagakerjaan,false,152210,,Balai Pelatihan Vokasi dan Produktivitas Banyuwangi,2026,5407686,,true,K34,43531414,Kementerian Ketenagakerjaan,57dbe10c-25b3-5ac2-8bdd-35321ac7748f.MYYEmXEb4YHh-NYV.ZIL-yX29u6BA9DGulrXaCU4OlN8C1BDI7zfwmv4ss68
13834096,K34,DL.4057.SCO.037.051.0B.521115,2026,452652,Terumumkan,Balai Besar Pelatihan Vokasi dan Produktivitas Makassar,593910220,RUPIAH MURNI,6940000,APBN,KEMENTERIAN,Kementerian Ketenagakerjaan,false,14123,,Balai Besar Pelatihan Vokasi dan Produktivitas Makassar,2026,5299577,,true,K34,43131715,Kementerian Ketenagakerjaan,57dbe10c-25b3-5ac2-8bdd-35321ac7748f.MYYEmXEb4YHh-NYV.ZIL-yX29u6BA9DGulrXaCU4OlN8C1BDI7zfwmv4ss68
