fiscal_year,mak,kode_satker,order_date,rup_desc,shipment_status,order_id,shipping_fee,funding_source,status,products,total_qty,nama_satker,rekan_id,count_product,flag_minikom,rup_name,kode_klpd,rup_code,is_swasta,kode_penyedia,total,last_update_ref
2026,DN.2175.BDC.003.051.0A.524114,626041,2026-02-23T00:00:00Z,"Perluasan Kesempatan Kerja, ",COMPLETED,01KJ4AX4ADH6M66C5NPFXMJF95,0,APBN,PAYMENT_OUTSIDE_SYSTEM,"[{""product_id"":""bfb0e981-6b22-41d1-b032-6e69b6add280"",""product_name"":""RESIDENTIAL FULL BOARD TWIN ES III & IV"",""qty"":100,""final_price"":1197000,""origin_price"":1300000}]",100,DIREKTORAT BINA PERLUASAN KESEMPATAN KERJA,0,1,Tidak,Fullboard Meeting - Persiapan Pelaksanaan Program Perluasan Kesempatan Kerja Bidang Tenaga Kerja Mandiri - Finalisasi Draft Juknis TKMP 2026,K34,65819141,false,01JWBCNH9AHC3V2J8YS213ZKZ8,119700000,efbb911a-59d7-54a0-816c-d0c9fbaa93e6.bI8Do91nMnf5OrZH.bp_Mke3RWv9eyBx4v7D-cz2tZosC2bohqiUo5LLt-bk
2026,"DL.4053.PDI.002.051.0A.521211, DL.4053.PDI.002.051.0B.521211, DL.4053.PDI.003.051.0A.521211",426531,2026-05-29T00:00:00Z,"Pengembangan Sistem dan Pelaksanaan Sertifikasi Kompetensi Profesi Binalavotas, ",COMPLETED,01KSHKA13K8RYGNHAPJCA8YXCF,0,APBN,COMPLETED,"[{""final_price"":141000,""origin_price"":142000,""product_id"":""4ae154c3-8983-404e-a324-1cdfa469b057"",""product_name"":""MAGNAFLUX SKD-S2"",""qty"":2},{""product_name"":""PLATE ST  POTONG + BEVEL"",""qty"":32,""final_price"":88000,""origin_price"":91000,""product_id"":""4e5e8ab2-9f69-43a0-b6b0-f2d3fd5d671a""},{""product_name"":""MAGNAFLUX 7HF"",""qty"":2,""final_price"":129000,""origin_price"":132000,""product_id"":""5c643366-7c38-44ac-8a11-7c79a78c5c25""},{""product_id"":""5d7dc962-0781-43bc-978a-51c05bdbd5b9"",""product_name"":""WIRE FCAW KISWEL"",""qty"":2,""final_price"":940000,""origin_price"":975000},{""final_price"":130000,""origin_price"":132000,""product_id"":""65d69b15-8c55-4d3a-93c5-e002ecafe1bf"",""product_name"":""MAGNAFLUX WCP-2"",""qty"":2},{""product_name"":""MAGNAPLUX SKL-SP2"",""qty"":4,""final_price"":142000,""origin_price"":147000,""product_id"":""6b2a3c26-030d-4874-ad02-c0f1b5d0c5a1""},{""product_id"":""affd4aef-b789-4c59-ae75-5d28850c5d3b"",""product_name"":""MAGNAFLUX SKL-WP2"",""qty"":2,""final_price"":450000,""origin_price"":454000},{""qty"":2,""final_price"":340000,""origin_price"":345000,""product_id"":""c5ff5a09-56de-483a-8766-810609484e9f"",""product_name"":""SERBUK BESI  380 MESH KEM (500 GRAM)""},{""product_id"":""ff40626e-3afd-413d-8487-5f811afa97be"",""product_name"":""MAGNAFLUX SKC-S"",""qty"":8,""final_price"":110000,""origin_price"":115000},{""product_name"":""PLAT ST POTONG TANFA BEVEL"",""qty"":16,""final_price"":20000,""origin_price"":21000,""product_id"":""ffc29464-de70-44a1-8ad0-e8f608c1206d""}]",72,BALAI BESAR PELATIHAN VOKASI DAN PRODUKTIVITAS SERANG,43475011,10,Tidak,Pengadaan Bahan Sertifikasi Lulusan (231 Paket),K34,63091859,false,01JPHT8R3TKWRTQ8663M9DRT2Q,9816840,efbb911a-59d7-54a0-816c-d0c9fbaa93e6.bI8Do91nMnf5OrZH.bp_Mke3RWv9eyBx4v7D-cz2tZosC2bohqiUo5LLt-bk
2026,DL.4053.PDI.002.051.0B.521211,452609,2026-03-06T00:00:00Z,"Pengembangan Sistem dan Pelaksanaan Sertifikasi Kompetensi Profesi Binalavotas, ",COMPLETED,01KK0WJAC5XZ0ZKHNWEK0JG9PE,0,APBN,COMPLETED,"[{""final_price"":58000,""origin_price"":58000,""product_id"":""02451150-c346-4ce9-ae09-b222eda99c0c"",""product_name"":""Kertas HVS - 70/F4 SIDU"",""qty"":18},{""product_name"":""Double tape 12 mm Nachi"",""qty"":1,""final_price"":3200,""origin_price"":3500,""product_id"":""03ff2c6c-2f1f-4367-a448-69f1dbdbd650""},{""product_id"":""18f8ae9d-33a4-4bb4-a1a0-35ce0fd47558"",""product_name"":""Toner Laserjet HP - 83a "",""qty"":5,""final_price"":1570000,""origin_price"":1570000},{""product_id"":""2561b8ca-853b-4dde-af28-21bbd4c21b03"",""product_name"":""Tinta Epson 003"",""qty"":4,""final_price"":120000,""origin_price"":120000},{""product_id"":""3974be0e-8ac7-4828-986c-2fe7fea6be77"",""product_name"":""Map ordner merk Bantex"",""qty"":25,""final_price"":21500,""origin_price"":22000},{""final_price"":83000,""origin_price"":83000,""product_id"":""5b827715-a331-45ea-98ff-2e45e8600af0"",""product_name"":""Kertas HVS warna - 70/F4 SIDU"",""qty"":1},{""product_name"":""Ballpoint gel  GP-265 Joyko"",""qty"":6,""final_price"":45000,""origin_price"":45000,""product_id"":""66c16efc-e4cf-4eb9-b363-e203313bff80""},{""product_id"":""681a797a-9ef2-4a7a-8cc5-e4df8ce2f1a5"",""product_name"":""Toner Foto Copy Canon"",""qty"":1,""final_price"":168500,""origin_price"":168500},{""final_price"":21500,""origin_price"":22000,""product_id"":""6a19955e-6ef0-41b3-891f-074c0d4a5174"",""product_name"":""Dispenser tape TD-323 Kenko"",""qty"":1},{""final_price"":85000,""origin_price"":85000,""product_id"":""6c7aa853-118c-4866-86af-12ef7d4b7f74"",""product_name"":""Spidol G-12 permanent Snowman"",""qty"":1},{""origin_price"":49000,""product_id"":""91527085-db65-4ccd-9c93-2210f813c080"",""product_name"":""Kertas HVS - 70/A4 SIDU"",""qty"":40,""final_price"":49000},{""origin_price"":48000,""product_id"":""95caf173-eaab-4689-902a-1a1656934cc3"",""product_name"":""Business file"",""qty"":230,""final_price"":48000},{""qty"":16,""final_price"":8400,""origin_price"":8500,""product_id"":""a46fb4d4-7812-479e-aa2f-7c1fc1610fef"",""product_name"":""Sheet protector merk BIG""},{""final_price"":6300,""origin_price"":6500,""product_id"":""c023fc3e-9ec0-483f-9280-64068f8267e8"",""product_name"":""Stick note 76x51/5W BIG"",""qty"":3},{""qty"":1,""final_price"":71500,""origin_price"":72000,""product_id"":""c1110948-458f-4bc1-86ce-00563b0281f9"",""product_name"":""Rautan putar A5 Kenko""},{""qty"":1,""final_price"":45500,""origin_price"":46000,""product_id"":""ca3f2151-263d-4a57-bfff-5db83bb4402d"",""product_name"":""Pensil HB Faber Castel""},{""origin_price"":7000,""product_id"":""d211a601-2043-4a2f-9158-c9ad73a24e5f"",""product_name"":""Isolasi bening 24 mm Nachi"",""qty"":3,""final_price"":6900},{""origin_price"":3000,""product_id"":""d58a213e-877e-4d3b-b8bd-69e8dd092dcf"",""product_name"":""Map kancing plastik merk SIKA"",""qty"":140,""final_price"":2950},{""qty"":2,""final_price"":16800,""origin_price"":17000,""product_id"":""d81aa313-eb82-4af2-a33b-646fd97f05de"",""product_name"":""Cutter L-500 Kenko""},{""qty"":10,""final_price"":44500,""origin_price"":45000,""product_id"":""db29bd78-3480-4837-83ab-d8f5844931bc"",""product_name"":""File box lipat / magazine file Jumbo Bantex""},{""final_price"":18000,""origin_price"":18000,""product_id"":""e79910cf-eefb-4dea-9668-fe9fcfdf02b0"",""product_name"":""Lakband kain hitam 2\"" Daimaru"",""qty"":4},{""product_id"":""ec0ea933-d26f-46db-94ad-89ff907f16d4"",""product_name"":""Double tape 24 mm Nachi"",""qty"":1,""final_price"":6900,""origin_price"":7000},{""qty"":3,""final_price"":11900,""origin_price"":12000,""product_id"":""ee408668-bbb0-4f3e-b1cc-c3f8bbac3886"",""product_name"":""Lakband bening 2\"" Daimaru""}]",517,BALAI BESAR PELATIHAN VOKASI DAN PRODUKTIVITAS SEMARANG,2705108,23,Tidak,Belanja Bahan Pelaksanaan Sertifikasi Lulusan Pelatihan ,K34,62801553,false,01JCF5TRQVKW157PX3JC6JFJ1Y,27572289,efbb911a-59d7-54a0-816c-d0c9fbaa93e6.bI8Do91nMnf5OrZH.bp_Mke3RWv9eyBx4v7D-cz2tZosC2bohqiUo5LLt-bk
2026,DL.4057.SCO.013.066.OA.521211,051102,2026-07-16T00:00:00Z,"Peningkatan Penyelenggaraan Pelatihan Vokasi dan Pemagangan Binalavotas, ",COMPLETED,01KXHQA9PHTCV43DRTFZAY8A16,0,APBN,PAYMENT_OUTSIDE_SYSTEM,"[{""final_price"":14400,""origin_price"":14414,""product_id"":""0db9f422-44b4-4090-b40e-2f1a6d9b32de"",""product_name"":""lakban bening - cokelat 45mm x 100yard full"",""qty"":5},{""product_name"":"" Baterai ABC ALKALINE AAA ISI 6"",""qty"":1,""final_price"":49900,""origin_price"":50000,""product_id"":""1799f122-ecaa-43aa-b45f-e4663c8f7b0c""},{""origin_price"":4000,""product_id"":""1fb37ff3-23ac-4380-82f4-688f01728e98"",""product_name"":""MONTANA Ruler / Penggaris MONTANA 30 cm Metal"",""qty"":3,""final_price"":3900},{""qty"":3,""final_price"":17900,""origin_price"":18000,""product_id"":""20a1b414-24f4-41f1-8684-af8c44912ae0"",""product_name"":""BOX FILE/ KERANJANG DOKUMEN""},{""final_price"":26100,""origin_price"":26126,""product_id"":""308a168b-9d95-4428-a595-400ac3324c99"",""product_name"":""Lakban Kain Warna Hitam 48 mm"",""qty"":5},{""product_name"":""Baterai ABC ALKALINE AA ISI 6"",""qty"":1,""final_price"":49900,""origin_price"":50000,""product_id"":""31370231-bc77-4b52-9464-3a1b6ca132ee""},{""final_price"":1750,""origin_price"":1800,""product_id"":""33121d6e-dcc4-4b5b-8e32-30d4ebcac5d0"",""product_name"":""MAP L BENING TRANSPARAN"",""qty"":2},{""origin_price"":13000,""product_id"":""37cf010f-c211-4144-8cbc-ba90c53019c9"",""product_name"":""Materai 10.000 Per PCS"",""qty"":15,""final_price"":12900},{""product_name"":""MONTANA Paper Clip / Klip / Penjepit Kertas Montana No.5"",""qty"":5,""final_price"":5990,""origin_price"":6000,""product_id"":""410ca58e-5127-4dec-b217-862db7993616""},{""final_price"":4500,""origin_price"":4504,""product_id"":""4647458f-45d9-4abd-bc38-406d9585b456"",""product_name"":""ISI STAPLES KENKO NO.10 1 pack"",""qty"":5},{""final_price"":13510,""origin_price"":13513,""product_id"":""49ba05e6-3ae5-40a7-9d59-15ab869744fe"",""product_name"":""Post it Pack"",""qty"":3},{""product_name"":""Joyko Glue Stick 15 Gram"",""qty"":6,""final_price"":8100,""origin_price"":8108,""product_id"":""4aa2b924-dd2b-4ec2-8838-7e599643167f""},{""product_id"":""4c1dedfd-f8f3-4e57-badb-3a7ff40b1a97"",""product_name"":""Tinta Printer EPSON 003 Yellow Kuning Original"",""qty"":4,""final_price"":94550,""origin_price"":94595},{""product_name"":""Penghapus Whiteboard"",""qty"":5,""final_price"":14400,""origin_price"":14414,""product_id"":""5680d7d6-ea78-467c-a65a-04f0296960fc""},{""final_price"":9990,""origin_price"":10000,""product_id"":""6b7627d9-f57e-4c7e-8c7c-f7a8987efccd"",""product_name"":""Joyko Binder Clip No.155"",""qty"":2},{""origin_price"":94595,""product_id"":""6d82321b-e7bf-4500-b052-7450a4a3c675"",""product_name"":""Tinta Printer EPSON 003 Magenta Original"",""qty"":3,""final_price"":94550},{""final_price"":23400,""origin_price"":23423,""product_id"":""7cdad489-7ef6-45f2-b6ac-b879ff44abd4"",""product_name"":""Binder Clip 260 V TEC Pack"",""qty"":3},{""origin_price"":94595,""product_id"":""8fa4068e-c9c3-4f7d-b580-fa5621f406b3"",""product_name"":""Printer Tinta EPSON 003 Cyan Original"",""qty"":3,""final_price"":94550},{""product_name"":""Spidol White Board non permanen Per PCS"",""qty"":12,""final_price"":8550,""origin_price"":8559,""product_id"":""8fd306f1-0a44-4f54-bffd-95e3b5b52f9f""},{""final_price"":40500,""origin_price"":40540,""product_id"":""a8bbffdc-c1e8-4549-87d4-4c0156e87fbb"",""product_name"":""Pulpen Snowman V5 0.7mm Ballpoint Pen"",""qty"":6},{""origin_price"":12000,""product_id"":""ac923afe-e2c6-4d01-86bc-b97277e61abd"",""product_name"":""MONTANA Cutter / Pemotong Montana CT L-500"",""qty"":2,""final_price"":11900},{""product_id"":""ba592ae8-b90b-4b95-8f6e-6660cbed8d75"",""product_name"":""MONTANA Binder Clip / Klip / Penjepit Kertas Montana (MT-BC107)"",""qty"":5,""final_price"":3990,""origin_price"":4000},{""qty"":15,""final_price"":54050,""origin_price"":54054,""product_id"":""bc45068d-6a9b-45f4-ae72-c54341ccda43"",""product_name"":""Kertas Sidu A4 Per rim""},{""product_id"":""bd8ea915-a9fa-4894-b284-8e7a4ade075f"",""product_name"":"" Stopmap Kertas Folio / Map Kertas 1 Pack"",""qty"":3,""final_price"":28820,""origin_price"":28829},{""final_price"":3150,""origin_price"":3153,""product_id"":""cb417c96-0edf-4983-8713-ec3fbba0b118"",""product_name"":""Penghapus Joyko 526-B40P ecer"",""qty"":10},{""origin_price"":9009,""product_id"":""cec2b64a-29bd-4ea2-b28e-a2186e3e8252"",""product_name"":""Isi Stapler No.3 1 dus kecil"",""qty"":2,""final_price"":9000},{""product_id"":""d171df52-177a-45d7-858b-e49b42ad6de9"",""product_name"":""MONTANA Binder Clip / Klip / Penjepit Kertas Montana (MT-BC200)"",""qty"":2,""final_price"":13990,""origin_price"":14000},{""origin_price"":94595,""product_id"":""d289dc63-670e-4497-9929-b768ce5812d6"",""product_name"":""Tinta Printer EPSON 003 Black Hitam Original"",""qty"":5,""final_price"":94550},{""qty"":1,""final_price"":18900,""origin_price"":19000,""product_id"":""d54b9550-7a1e-4bbd-8bfc-d6fdaeeb96db"",""product_name"":""AMPLOP COKLAT SAMSON ISI 100 LEMBAR/ AMPLOP COKLAT""},{""qty"":3,""final_price"":25900,""origin_price"":26000,""product_id"":""d8061373-d61c-49c3-980f-28af0c728d95"",""product_name"":""MAP KANCING PLASTIK 1 PACK ISI 12PCS""},{""final_price"":40500,""origin_price"":40540,""product_id"":""ed331212-e4c9-4e7e-b927-b4c6fdb654c5"",""product_name"":""PENSIL 2B STAEDTLER PER PACK ISI 12 PCS"",""qty"":1},{""origin_price"":1300,""product_id"":""f173f1ff-9fff-4f46-8d33-c72a0dfb56c9"",""product_name"":""MONTANA Trigonal Clip / Klip / Penjepit Kertas Montana No.3"",""qty"":5,""final_price"":1290},{""product_name"":""Sticky Notes Segi Empat"",""qty"":3,""final_price"":15000,""origin_price"":15045,""product_id"":""f3d38c5d-da9f-48e3-a297-b5d9898f05e9""},{""final_price"":90000,""origin_price"":90090,""product_id"":""ff911287-7295-4af6-8468-3edf7e4deb96"",""product_name"":""Spidol Board Maker Hitam/Biru"",""qty"":2}]",151,BALAI PELATIHAN VOKASI DAN PRODUKTIVITAS BANYUWANGI,298250009,34,Tidak,Pelatihan Vokasi di Provinsi Jawa Timur UPT BLK Kota Probolinggo,K34,62259233,false,01JBKH492JYBJ6CW40PRGBN2BK,4440138,efbb911a-59d7-54a0-816c-d0c9fbaa93e6.bI8Do91nMnf5OrZH.bp_Mke3RWv9eyBx4v7D-cz2tZosC2bohqiUo5LLt-bk
2026,DL.4057.SCO.011.055.OA.521211,035636,2026-07-14T00:00:00Z,"Peningkatan Penyelenggaraan Pelatihan Vokasi dan Pemagangan Binalavotas, ",COMPLETED,01KXF4KYJE8KR8XR5Z4ACV0HJK,0,APBN,PAYMENT_OUTSIDE_SYSTEM,"[{""final_price"":134500,""origin_price"":150000,""product_id"":""44c0a01c-7f39-4821-b3d4-ecf1b9d01f79"",""product_name"":""PAKAIAN KERJA/SERAGAM PELATIHAN"",""qty"":112}]",112,BALAI PELATIHAN VOKASI DAN PRODUKTIVITAS SURAKARTA,1176053,1,Tidak,Pengadaan Pakaian Kerja Peserta UPTD BLK Disnaker Kab. Kebumen,K34,67426049,false,01JMBXEEYZ37NKFJ5NY2TXB067,16721040,efbb911a-59d7-54a0-816c-d0c9fbaa93e6.bI8Do91nMnf5OrZH.bp_Mke3RWv9eyBx4v7D-cz2tZosC2bohqiUo5LLt-bk
2026,"DL.4057.SCO.003.051.0B.521211, DL.4057.SCO.003.052.0A.521211",451108,2026-03-30T00:00:00Z,,COMPLETED,01KMQAB57Q1PGKTRH32CYNNKT2,0,APBN,PAYMENT_OUTSIDE_SYSTEM,"[{""final_price"":24900,""origin_price"":25000,""product_id"":""9d079815-bd96-43c1-b471-9f536452af11"",""product_name"":""NASI KOTAK A"",""qty"":3768}]",3768,BALAI PELATIHAN VOKASI DAN PRODUKTIVITAS SAMARINDA,0,1,Tidak,Konsumsi Peserta Pelatihan (RM),K34,66626893,false,01K5G0BRX7C57HJSJGGD0B0AS8,93823200,efbb911a-59d7-54a0-816c-d0c9fbaa93e6.bI8Do91nMnf5OrZH.bp_Mke3RWv9eyBx4v7D-cz2tZosC2bohqiUo5LLt-bk
2026,"DL.4057.SCO.003.051.0B.521211, DL.4057.SCO.003.052.0A.521211, DL.4057.SCO.003.052.0B.521211, DL.4057.SCO.003.052.0C.521211, DL.4057.SCO.003.053.0B.521211",451094,2026-03-09T00:00:00Z,,COMPLETED,01KK0QQQPYANQTYFNQP6879BGK,0,APBN,ON_PROCESS,"[{""final_price"":144000,""origin_price"":153153,""product_id"":""d591e7ee-a3d7-43a9-b653-6def5edb55a7"",""product_name"":""KEMEJA SERAGAM KERJA LENGAN PENDEK"",""qty"":32}]",32,BALAI BESAR PELATIHAN VOKASI DAN PRODUKTIVITAS MEDAN,0,1,Tidak,Pakaian Kerja 49 Paket RM,K34,66165439,false,01J8H9SHT8BGT5TEBA74BVRS6D,4608000,efbb911a-59d7-54a0-816c-d0c9fbaa93e6.bI8Do91nMnf5OrZH.bp_Mke3RWv9eyBx4v7D-cz2tZosC2bohqiUo5LLt-bk
2026,DN.2175.QDC.001.051.0B.521211,259322,2026-08-21T00:00:00Z,"Perluasan Kesempatan Kerja, ",DRAFT,01M0H5529E7QW5EPQPWMG5VEV1,0,APBN,ON_PROCESS,"[{""qty"":2232,""final_price"":41000,""origin_price"":42000,""product_id"":""124e4be2-6368-456d-bead-4474d0007b2f"",""product_name"":""Catering Prasmanan A""},{""qty"":1488,""final_price"":16300,""origin_price"":17000,""product_id"":""1cc693e9-547d-4aa5-a65a-4c50cdaf0502"",""product_name"":""Snack Box Catering A""}]",3720,BALAI BESAR PERLUASAN KESEMPATAN KERJA,0,2,Tidak,Pengadaan Konsumsi Peserta Kegiatan Pembekalan TKM Lanjutan,K34,67688715,false,01KD55C0Y7GKVCJSSRP4SA30PQ,115766400,efbb911a-59d7-54a0-816c-d0c9fbaa93e6.bI8Do91nMnf5OrZH.bp_Mke3RWv9eyBx4v7D-cz2tZosC2bohqiUo5LLt-bk
2026,DL.4057.SCO.003.052.0A.521211,452542,2026-07-03T00:00:00Z,"Peningkatan Penyelenggaraan Pelatihan Vokasi dan Pemagangan Binalavotas, ",COMPLETED,01KWH0SJ7ZHQSR8YRMJ750RN09,0,APBN,COMPLETED,"[{""origin_price"":374000,""product_id"":""fd402f5d-f26e-4207-9a96-f170d340387d"",""product_name"":""CUSTOME SAFETY SHOES BOOTS "",""qty"":112,""final_price"":349800}]",112,BALAI BESAR PELATIHAN VOKASI DAN PRODUKTIVITAS BANDUNG,24980014,1,Tidak,Safety Shoes PBK Reguler,K34,63632766,false,01JHM3C4G9WQHRT5WTDSHCA2NE,39177600,efbb911a-59d7-54a0-816c-d0c9fbaa93e6.bI8Do91nMnf5OrZH.bp_Mke3RWv9eyBx4v7D-cz2tZosC2bohqiUo5LLt-bk
2026,DL.4057.SCO.027.060.0B.521211,191206,2026-08-31T00:00:00Z,"Peningkatan Penyelenggaraan Pelatihan Vokasi dan Pemagangan Binalavotas, ",DRAFT,01M1BGVG18BCK292TDH9KX2HDR,0,APBN,ON_PROCESS,"[{""product_name"":""Foto Copy Modul Operator Komputer Muda"",""qty"":16,""final_price"":141199,""origin_price"":141200,""product_id"":""07c58190-0568-4308-aa39-8fcfdcb48ffa""},{""product_id"":""0fc36bc6-2eb9-493b-933b-593439331620"",""product_name"":""Foto Copy Modul Teknisi AC Residential"",""qty"":16,""final_price"":229300,""origin_price"":229400},{""qty"":16,""final_price"":141200,""origin_price"":142300,""product_id"":""27b40eee-0f45-4783-9e3b-1d43d43fe9f2"",""product_name"":""Foto Copy Modul Menjahit""},{""product_id"":""3712f8cc-2002-4da5-9d9a-e251bacc4023"",""product_name"":""Pakian Kerja"",""qty"":112,""final_price"":149900,""origin_price"":150000},{""origin_price"":350000,""product_id"":""a93e2394-4ebd-4a82-8498-2e84ae0c815a"",""product_name"":""Sepatu Safety"",""qty"":48,""final_price"":349900},{""qty"":16,""final_price"":251999,""origin_price"":252000,""product_id"":""b4550480-64bc-45fd-9740-ea4062273c91"",""product_name"":""Foto Copy Modul Otomotif""},{""final_price"":169199,""origin_price"":169200,""product_id"":""c686072a-4e70-4072-8eca-ef8561883749"",""product_name"":""Foto Copy Modul Desain Grafis Muda"",""qty"":16},{""final_price"":219900,""origin_price"":220000,""product_id"":""dbe39153-d1f6-421a-9228-ef6cd51e15ce"",""product_name"":""Foto Copy Modul Las"",""qty"":16},{""qty"":16,""final_price"":241900,""origin_price"":242000,""product_id"":""fbade6da-a074-4cf4-ab17-ef9caac7763f"",""product_name"":""Foto Copy Modul Tata Kecantikan""}]",272,BALAI PELATIHAN VOKASI DAN PRODUKTIVITAS BANTAENG,117805009,9,Tidak,"pengadaan Modul peserta, pakaian kerja dan safety shoes pelatihan Vonasi nasional ABT 2026",K34,67688035,false,01JGN5VNBNWXPMT76FY1AR1DWJ,55899152,efbb911a-59d7-54a0-816c-d0c9fbaa93e6.bI8Do91nMnf5OrZH.bp_Mke3RWv9eyBx4v7D-cz2tZosC2bohqiUo5LLt-bk
