nama_satker,nilai_pdn_pct,tgl_mulai_paket,nip_ppk,hps,kd_satker,status_nontender_pct_ket,uraian_pekerjaan,kd_klpd,status_nontender_pct,tgl_buat_paket,nama_klpd,pagu,kd_rup,nama_paket,mtd_pemilihan,informasi_lainnya,kd_pkt_dce,sumber_dana,jenis_klpd,nilai_umk_pct,bukti_pembayaran,kategori_pengadaan,tahun_anggaran,alasan_pembatalan,kd_lpse,tgl_selesai_paket,total_realisasi,kd_satker_str,nama_ppk,kd_nontender_pct,last_update_ref
SEKRETARIAT JENDERAL KEMNAKER,0,2026-09-04T15:12:14.462Z,***************002,0,134194,Paket Sedang Berjalan,,K34,Aktif,2026-08-21T13:34:35.832000Z,Kementerian Ketenagakerjaan,15000000,66942997,[TU Menteri dan Wakil Menteri] Belanja Pemeliharaan Peralatan dan Mesin-Pemeliharaan Komputer/Notebook,Pengadaan Langsung,,12001520000,APBN,KEMENTERIAN,0,NonSPK,Jasa Lainnya,2026,,194,2026-12-31T00:00:00Z,1100000,450938,"A**** H**********, S.S, M.S*.",11040682000,7cc4120c-47e7-51cf-9921-af722035e209.PWnWmtaZpVOT4iSY.CJ0xAUSCDTe2uuuQdO17zyEScryAyJRcHt6Kc2wC6io
SEKRETARIAT JENDERAL KEMNAKER,0,2026-08-13T15:06:27.791Z,***************002,0,134194,Paket Selesai,"<p>Biaya Langganan Aplikasi Zoom meeting dalam rangka kegiatan Operasional Kantor di Bagian Layanan Pengadaan</p>                    
                ",K34,Aktif,2026-08-13T12:32:26.456000Z,Kementerian Ketenagakerjaan,3392000,63915131,Operasional PBJ - Langganan Zoom Meeting,Dikecualikan,,11984003000,APBN,KEMENTERIAN,0,NonSPK,Jasa Lainnya,2026,,194,2026-05-18T00:00:00Z,3390181,450938,"A**** H**********, S.S, M.S*.",11033623000,7cc4120c-47e7-51cf-9921-af722035e209.PWnWmtaZpVOT4iSY.CJ0xAUSCDTe2uuuQdO17zyEScryAyJRcHt6Kc2wC6io
SEKRETARIAT JENDERAL KEMNAKER,0,2026-08-26T17:49:52.714Z,***************002,0,134194,Paket Sedang Berjalan,"<p>Biaya Kerumahtanggaan PBJ</p>                    
                ",K34,Aktif,2026-08-10T12:29:25.967000Z,Kementerian Ketenagakerjaan,63600000,63913242,Operasional PBJ - Biaya Kerumahtanggaan PBJ,Pengadaan Langsung,,11972203000,APBN,KEMENTERIAN,0,NonSPK,Pengadaan Barang,2026,,194,2026-12-31T00:00:00Z,36524848,450938,"A**** H**********, S.S, M.S*.",11027999000,7cc4120c-47e7-51cf-9921-af722035e209.PWnWmtaZpVOT4iSY.CJ0xAUSCDTe2uuuQdO17zyEScryAyJRcHt6Kc2wC6io
Balai Pelatihan Vokasi dan Produktivitas Bandung Barat,0,2026-08-14T07:42:15.609Z,***************001,0,4247194,Paket Selesai,,K34,Aktif,2026-08-14T07:35:54.364000Z,Kementerian Ketenagakerjaan,507200000,67641396,Konsumsi Peserta Pelatihan,Pengadaan Langsung,,11985455000,APBN,KEMENTERIAN,0,NonSPK,Jasa Lainnya,2026,,194,2026-04-23T00:00:00Z,15263300,021212,A*** S***** M******,11034116000,7cc4120c-47e7-51cf-9921-af722035e209.PWnWmtaZpVOT4iSY.CJ0xAUSCDTe2uuuQdO17zyEScryAyJRcHt6Kc2wC6io
SEKRETARIAT JENDERAL KEMNAKER,0,2026-09-04T12:21:31.136Z,***************002,0,134194,Paket Sedang Berjalan,,K34,Aktif,2026-08-20T14:39:58.351000Z,Kementerian Ketenagakerjaan,6327000,63881912,Belanja Pemerliharaan Peralatan Perkantoran - PC,Pengadaan Langsung,,11998828000,APBN,KEMENTERIAN,0,NonSPK,Jasa Lainnya,2026,,194,2026-12-31T00:00:00Z,1200000,450938,"A**** H**********, S.S, M.S*.",11039532000,7cc4120c-47e7-51cf-9921-af722035e209.PWnWmtaZpVOT4iSY.CJ0xAUSCDTe2uuuQdO17zyEScryAyJRcHt6Kc2wC6io
Balai Besar Pelatihan Vokasi dan Produktivitas Bandung,20982889,2026-06-19T18:13:14.983Z,***************006,0,9878194,Paket Selesai,"<p>Pengadaan Bahan Pelatihan TMT untuk Kejuruan Pengoperasian Mesin Jahit di BLK Sumedang (2 Paket),Pengoperasian Forklift Kelas 2 di Yayasan Pendidikan Karya Nasional,Pelatihan Pengurus Koperasi Desa/Kelurahan Merah Putih Pemula</p>                    
                ",K34,Aktif,2026-06-19T17:45:01.110000Z,Kementerian Ketenagakerjaan,330000000,63629683,Bahan Pelatihan Tailor Made Training (PNBP),Pengadaan Langsung,,11816251000,APBN,KEMENTERIAN,20982889,NonSPK,Pengadaan Barang,2026,,194,2026-04-24T00:00:00Z,20982889,452542,C********* D*** R********,10951225000,7cc4120c-47e7-51cf-9921-af722035e209.PWnWmtaZpVOT4iSY.CJ0xAUSCDTe2uuuQdO17zyEScryAyJRcHt6Kc2wC6io
Balai Pelatihan Vokasi dan Produktivitas Bandung Barat,0,2026-08-12T13:18:50.576Z,***************001,0,4247194,Paket Selesai,,K34,Aktif,2026-08-12T13:15:28.800000Z,Kementerian Ketenagakerjaan,190155000,67379607,Bahan Pelatihan Pariwisata dan Industri Kreatif,Pengadaan Langsung,,11980291000,APBN,KEMENTERIAN,0,NonSPK,Pengadaan Barang,2026,,194,2026-05-08T00:00:00Z,25697051,021212,A*** S***** M******,11031789000,7cc4120c-47e7-51cf-9921-af722035e209.PWnWmtaZpVOT4iSY.CJ0xAUSCDTe2uuuQdO17zyEScryAyJRcHt6Kc2wC6io
Balai Pelatihan Vokasi dan Produktivitas Belitung,47969955,2026-07-07T13:12:15.014Z,***************001,0,336194,Paket Selesai,"<p>Pengadaan Bahan Pelatihan Service Sepeda Motor Sistem Injeksi dan Peracikan Minuman Kopi Sebanyak 2 (Dua) Paket Pelatihan Non Boarding PBK BPVP Belitung di UPTD BLK Disnaker Prov Babel <br></p>                    
                ",K34,Aktif,2026-07-07T08:12:59.464000Z,Kementerian Ketenagakerjaan,182302000,66453149,Pengadaan Bahan Pelatihan Service Sepeda Motor Sistem Injeksi dan Peracikan Minuman Kopi Sebanyak 2 (Dua) Paket Pelatihan Non Boarding PBK BPVP Belitung di UPTD BLK Disnaker Prov Babel,Pengadaan Langsung,,11868144000,APBN,KEMENTERIAN,0,NonSPK,Pengadaan Barang,2026,,194,2026-06-15T00:00:00Z,47969955,352631,L***** F*****,10978059000,7cc4120c-47e7-51cf-9921-af722035e209.PWnWmtaZpVOT4iSY.CJ0xAUSCDTe2uuuQdO17zyEScryAyJRcHt6Kc2wC6io
Balai Pelatihan Vokasi dan Produktivitas Bandung Barat,0,2026-08-07T09:10:52.657Z,***************001,0,4247194,Paket Selesai,,K34,Aktif,2026-08-07T09:04:28.354000Z,Kementerian Ketenagakerjaan,438000000,67364350,Bahan Uji Kompetensi,Pengadaan Langsung,,11967049000,APBN,KEMENTERIAN,0,NonSPK,Pengadaan Barang,2026,,194,2026-07-08T00:00:00Z,26477567,021212,A*** S***** M******,11025923000,7cc4120c-47e7-51cf-9921-af722035e209.PWnWmtaZpVOT4iSY.CJ0xAUSCDTe2uuuQdO17zyEScryAyJRcHt6Kc2wC6io
SEKRETARIAT JENDERAL KEMNAKER,0,2026-09-04T15:11:24.717Z,***************002,0,134194,Paket Sedang Berjalan,,K34,Aktif,2026-08-28T09:04:17.905000Z,Kementerian Ketenagakerjaan,9000000,66943052,[TU Menteri dan Wakil Menteri] Belanja Pemeliharaan Peralatan dan Mesin-Pemeliharaan Printer,Pengadaan Langsung,,12016162000,APBN,KEMENTERIAN,0,NonSPK,Jasa Lainnya,2026,,194,2026-12-31T00:00:00Z,,450938,"A**** H**********, S.S, M.S*.",11046254000,7cc4120c-47e7-51cf-9921-af722035e209.PWnWmtaZpVOT4iSY.CJ0xAUSCDTe2uuuQdO17zyEScryAyJRcHt6Kc2wC6io
