lokasi_pekerjaan,nilai_penawaran,nilai_kontrak,tahun_anggaran,kd_klpd,kd_paket,nama_penyedia,nama_klpd,nilai_terkoreksi,nama_satker,kd_lpse,psr_id,jenis_klpd,tgl_pengumuman_tender,kd_tender,kd_penyedia,kd_satker,nilai_pdn_kontrak,npwp_16_penyedia,npwp_penyedia,pagu,hps,nilai_umk_kontrak,provinsi,kabkota,kd_rup_paket,nilai_negosiasi,tgl_penetapan_pemenang,last_update_ref
"Jalan Merapi Raya No. 89, Kelurahan Panorama, Kecamatan Singaran Pati, Kota Bengkulu, Provinsi Bengkulu",,,2026,K34,10152741000,,Kementerian Ketenagakerjaan,,Direktorat Bina Kelembagaan Pelatihan Vokasi,194,,KEMENTERIAN,2026-08-21T00:00:00Z,10159959000,,626131,,,,63441052000,51439625000,,Bengkulu,Bengkulu (Kota),66390312,,2026-10-01T00:00:00Z,cc820c5f-e6ba-5337-bc51-523cc40dc3a2.7lJvHHveywTU6tOK.FxLdoeEfr9ANwJI0MauFE7YzlQZkE0YoAM7-Ri13HoQ
"Desa Batu Besar, Kecamatan Nongsa, Kota Batam, Provinsi Kepulauan Riau",,,2026,K34,10155602000,,Kementerian Ketenagakerjaan,,Direktorat Bina Kelembagaan Pelatihan Vokasi,194,,KEMENTERIAN,2026-08-28T00:00:00Z,10163085000,,626131,,,,54624000000,54472055602.06,,Kepulauan Riau,Batam (Kota),66390327,,2026-10-06T00:00:00Z,cc820c5f-e6ba-5337-bc51-523cc40dc3a2.7lJvHHveywTU6tOK.FxLdoeEfr9ANwJI0MauFE7YzlQZkE0YoAM7-Ri13HoQ
"Jalan Biduri Raya, RT 10/RW 02 Kelurahan Batulicin, Kecamatan Batulicin, Kabupaten Tanah Bumbu, Provinsi Kalimantan Selatan",,,2026,K34,10156213000,,Kementerian Ketenagakerjaan,,Direktorat Bina Kelembagaan Pelatihan Vokasi,194,,KEMENTERIAN,2026-09-08T00:00:00Z,10163745000,,626131,,,,55483600000,55198624392,,Kalimantan Selatan,Tanah Bumbu (Kab.),66390314,,2026-10-15T00:00:00Z,cc820c5f-e6ba-5337-bc51-523cc40dc3a2.7lJvHHveywTU6tOK.FxLdoeEfr9ANwJI0MauFE7YzlQZkE0YoAM7-Ri13HoQ
Gedung Vokasi Jalan Jenderal Gatot Subroto Kaveling 44 Jakarta Selatan DKI Jakarta,2089050250,2089050250,2026,K34,10144772000,PT INERSIA AMPAK ENGINEERS,Kementerian Ketenagakerjaan,2089050250,Direktorat Bina Penyelenggaraan Pelatihan Vokasi dan Pemagangan,194,11760143000,KEMENTERIAN,2026-07-22T00:00:00Z,10151353000,712065,626132,,0013082797001000,01.308.279.7-001.000,2300000000,2299921875,,DKI Jakarta,Jakarta Selatan (Kota),67429813,2089050250,2026-08-27T00:00:00Z,cc820c5f-e6ba-5337-bc51-523cc40dc3a2.7lJvHHveywTU6tOK.FxLdoeEfr9ANwJI0MauFE7YzlQZkE0YoAM7-Ri13HoQ
Jl. Jend Gatot Subroto Kav 51,,,2026,K34,10158868000,,Kementerian Ketenagakerjaan,,Badan Perencanaan dan Pengembangan Ketenagakerjaan,194,,KEMENTERIAN,2026-09-08T00:00:00Z,10166654000,,452677,,,,2000000000,1904759785,,DKI Jakarta,Jakarta Selatan (Kota),67538410,,2026-10-22T00:00:00Z,cc820c5f-e6ba-5337-bc51-523cc40dc3a2.7lJvHHveywTU6tOK.FxLdoeEfr9ANwJI0MauFE7YzlQZkE0YoAM7-Ri13HoQ
"Jalan Nasional Poros Bulungan - Malinau, Desa Seriang, Kecamatan Tanjung Selor, Kabupaten Bulungan, Provinsi Kalimantan Utara",,,2026,K34,10150225000,,Kementerian Ketenagakerjaan,,Direktorat Bina Kelembagaan Pelatihan Vokasi,194,,KEMENTERIAN,2026-07-29T00:00:00Z,10157189000,,626131,,,,108024405000,94577629145,,Kalimantan Utara,Bulungan (Kab.),66390319,,2026-09-17T00:00:00Z,cc820c5f-e6ba-5337-bc51-523cc40dc3a2.7lJvHHveywTU6tOK.FxLdoeEfr9ANwJI0MauFE7YzlQZkE0YoAM7-Ri13HoQ
Jl. Jend Gatot Subroto Kav 51,,,2026,K34,10152339000,,Kementerian Ketenagakerjaan,,Badan Perencanaan dan Pengembangan Ketenagakerjaan,194,,KEMENTERIAN,2026-08-05T00:00:00Z,10159515000,,452677,,,,400000000,294600000,,DKI Jakarta,Jakarta Selatan (Kota),67611590,,2026-09-18T00:00:00Z,cc820c5f-e6ba-5337-bc51-523cc40dc3a2.7lJvHHveywTU6tOK.FxLdoeEfr9ANwJI0MauFE7YzlQZkE0YoAM7-Ri13HoQ
Jl Jend Gatot Subroto Kav 51,,,2026,K34,10153666000,,Kementerian Ketenagakerjaan,,Badan Perencanaan dan Pengembangan Ketenagakerjaan,194,,KEMENTERIAN,2026-08-21T00:00:00Z,10160960000,,452677,,,,14699105000,12677050659,,DKI Jakarta,Jakarta Selatan (Kota),67592003,,2026-10-07T00:00:00Z,cc820c5f-e6ba-5337-bc51-523cc40dc3a2.7lJvHHveywTU6tOK.FxLdoeEfr9ANwJI0MauFE7YzlQZkE0YoAM7-Ri13HoQ
Jl Jend Gatot Subroto Kav 51,,,2026,K34,10155417000,,Kementerian Ketenagakerjaan,,Badan Perencanaan dan Pengembangan Ketenagakerjaan,194,,KEMENTERIAN,2026-08-20T00:00:00Z,10162858000,,452677,,,,654750000,646650000,,DKI Jakarta,Jakarta Selatan (Kota),67538462,,2026-09-23T00:00:00Z,cc820c5f-e6ba-5337-bc51-523cc40dc3a2.7lJvHHveywTU6tOK.FxLdoeEfr9ANwJI0MauFE7YzlQZkE0YoAM7-Ri13HoQ
"Desa Panamboang, Kecamatan Bacan Selatan, Kabupaten Halmahera Selatan, Provinsi Maluku Utara",,,2026,K34,10151157000,,Kementerian Ketenagakerjaan,,Direktorat Bina Kelembagaan Pelatihan Vokasi,194,,KEMENTERIAN,2026-08-05T00:00:00Z,10158222000,,626131,,,,72311690000,72210016000,,Maluku Utara,Halmahera Selatan (Kab.),66390318,,2026-09-16T00:00:00Z,cc820c5f-e6ba-5337-bc51-523cc40dc3a2.7lJvHHveywTU6tOK.FxLdoeEfr9ANwJI0MauFE7YzlQZkE0YoAM7-Ri13HoQ
